hd,jcd,rno,lane,regno,st_pred_sec,st_rel_sec,st_rank_in_race,dash_advantage,wall_weak_flag,proba_nige,proba_sashi,proba_makuri,proba_makuri_sashi,proba_win,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240301,02,10,1,3939,0.11486611324807398,0.0,1,-0.06331091836879504,0,0.9999979798698508,0.0,0.0,0.0,0.44599705668526113,7.0,0.0,1,49.23,1,3939,0,0.0,15.283,13.684333333333333,0.14,0.9063333333333325,5.0,12.778,NIGE,38.51,渡辺 真至,0.0,0.06,30.0,60.81,65.2,0.0,4,6.83,91.3,1
20240301,02,10,2,3873,0.12439425642970005,0.009528143181626064,2,-0.06331091836879504,0,0.0,0.34792260156566096,0.644927295526549,0.007148065449254904,0.08888584053671564,7.0,0.0,1,52.99,1,3873,0,1.0,13.918999999999999,13.684333333333333,0.18,0.9063333333333325,5.0,12.778,NIGE,34.65,別府 昌樹,0.0,0.03,38.81,48.03,2.3,0.0,3,6.9,69.0,2
20240301,02,10,3,4709,0.15933074663768013,0.04446463338960614,3,-0.06331091836879504,0,0.0,0.31414062632041323,0.6657902297992515,0.020066354497444094,0.03484825441141229,7.0,0.0,1,62.24,1,4709,0,2.0,9.132000000000001,13.684333333333333,0.15,0.9063333333333325,5.0,12.778,NIGE,18.42,岡村 将也,0.0,0.0006,41.26,32.46,8.3,1.0,2,6.95,66.6,4
20240301,02,10,4,4981,0.17893690594486736,0.06407079269679337,5,-0.06331091836879504,0,0.0,0.20456202698317102,0.781952515142291,0.013483211319749337,0.05068024224292159,7.0,0.0,1,46.88,1,4981,0,1.0,17.049,13.684333333333333,0.17,0.9063333333333325,5.0,12.778,NIGE,44.81,牧山 敦也,0.0,0.0006,34.38,61.69,5.1,1.0,2,6.9,51.2,2
20240301,02,10,5,3663,0.1706913738401252,0.055825260592051215,4,-0.06331091836879504,0,0.0,0.4760651834926662,0.5046556398950374,0.019276262887204583,0.012243406829400985,7.0,0.0,1,48.03,1,3663,0,0.0,13.125,13.684333333333333,0.17,0.9063333333333325,5.0,12.778,NIGE,34.27,木山 和幸,0.0,0.09,29.13,55.24,4.1,2.0,5,6.9,39.5,2
20240301,02,10,6,4619,0.23889559163684673,0.12402947838877275,6,-0.06331091836879504,0,0.0,0.49616959832173785,0.4750964522449544,0.02873078942157368,0.0005227068599271718,7.0,0.0,1,44.36,1,4619,0,0.0,10.879,13.684333333333333,0.22,0.9063333333333325,5.0,12.778,NIGE,25.55,伏田 裕隆,0.0,0.0002,26.32,45.99,0.0,0.0,1,6.91,7.4,3
20240301,02,11,1,4099,0.16816987349575618,0.06271787446821284,4,-0.07421946993636369,1,0.9999983467294525,0.0,0.0,0.0,0.3641758896807207,6.0,0.0,1,40.77,1,4099,0,0.0,16.489,16.076666666666664,0.16,2.6616666666666635,5.0,13.415000000000001,SASHI,40.27,吉永 則雄,1.0,0.01,24.62,55.7,72.8,0.0,1,6.85,93.2,1
20240301,02,11,2,4133,0.13476711427956947,0.029315115252026125,2,-0.07421946993636369,0,0.0,0.6769800493140087,0.2958809435465344,0.027134777547191874,0.060852589109745114,6.0,2.0,1,41.98,1,4133,0,2.0,11.389,16.076666666666664,0.15,2.6616666666666635,5.0,13.415000000000001,SASHI,26.13,高橋 正男,0.0,0.11,27.48,45.95,10.0,0.0,4,6.86,62.5,2
20240301,02,11,3,4588,0.10545199902754335,0.0,1,-0.07421946993636369,0,0.0,0.35424606277936344,0.6159354605911422,0.029811630026365908,0.3069791346678398,6.0,2.0,1,49.6,1,4588,0,3.0,12.367,16.076666666666664,0.14,2.6616666666666635,5.0,13.415000000000001,SASHI,29.41,田中 京介,0.0,0.01,35.2,42.86,25.8,3.0,1,6.86,48.3,2
20240301,02,11,4,3072,0.1638773084320307,0.05842530940448734,3,-0.07421946993636369,0,0.0,0.581005765847862,0.35157304110381016,0.06741455020673036,0.012441469713293539,6.0,0.0,1,49.25,1,3072,0,0.0,18.672,16.076666666666664,0.13,2.6616666666666635,5.0,13.415000000000001,SASHI,50.34,西田 靖,0.0,0.03,35.07,63.45,0.0,0.0,2,6.85,20.0,1
20240301,02,11,5,4173,0.23286810550433482,0.12741610647679147,5,-0.07421946993636369,0,0.0,0.5015839027633173,0.46324195406850716,0.03517011759488542,0.010831435820130578,6.0,0.0,1,44.44,1,4173,0,0.0,17.307,16.076666666666664,0.17,2.6616666666666635,5.0,13.415000000000001,SASHI,46.01,岡谷 健吾,0.0,0.03,26.98,58.28,7.1,4.0,2,6.94,48.2,4
20240301,02,11,6,4298,0.23430198267559457,0.12884998364805123,6,-0.07421946993636369,0,0.0,0.4945678393206853,0.4619998179218188,0.04342808228313237,0.012557058658148958,6.0,0.0,1,46.56,1,4298,0,0.0,12.251,16.076666666666664,0.17,2.6616666666666635,5.0,13.415000000000001,SASHI,29.37,宮下 元胤,0.0,0.04,27.48,41.27,0.0,0.0,3,6.93,42.1,3
