hd,jcd,rno,lane,regno,racer_id,motor_rate3,st_rank,decision4,tenji_rank,power_outer,power_inner,tenji_sec,wind_speed_m,power_lane,course_first_rate,kimarite_sashi,tenji_st,dash_attack_flag,kimarite_nuki,course_3rd_rate,wave_height_cm,kimarite_makuri_sashi,boat_rate3,boat_rate2,is_strong_wind,kimarite_makuri,racer_name,motor_rate2,is_crosswind,course_avg_st,outer_over_inner
20240328,04,11,1,5217,5217,50.63,2,NIGE,1,13.755333333333333,13.992666666666667,6.67,2.0,15.474,48.0,0.0,0.02,0,1.0,84.0,3.0,0.0,48.43,32.7,0,0.0,藤原 碧生,36.88,0,0.13,-0.23733333333333384
20240328,04,11,2,5228,5228,51.57,1,NIGE,2,13.755333333333333,13.992666666666667,6.7,2.0,13.942,14.8,3.0,0.0005,0,0.0,59.2,3.0,0.0,43.13,28.75,0,1.0,若林 樹蘭,33.96,0,0.16,-0.23733333333333384
20240328,04,11,3,5139,5139,49.38,1,NIGE,4,13.755333333333333,13.992666666666667,6.82,2.0,12.562,7.1,0.0,0.0005,0,0.0,53.5,3.0,1.0,56.46,35.37,0,1.0,大場 恒季,31.88,0,0.13,-0.23733333333333384
20240328,04,11,4,5037,5037,41.06,3,NIGE,4,13.755333333333333,13.992666666666667,6.82,2.0,12.197,15.7,2.0,0.04,0,0.0,57.8,3.0,2.0,54.23,35.21,0,2.0,田頭 虎親,27.81,0,0.14,-0.23733333333333384
20240328,04,11,5,5028,5028,52.2,4,NIGE,3,13.755333333333333,13.992666666666667,6.76,2.0,14.829999999999998,10.5,0.0,0.05,0,0.0,36.8,3.0,1.0,44.37,28.17,0,3.0,原田 才一郎,36.48,0,0.17,-0.23733333333333384
20240328,04,11,6,5136,5136,46.84,1,NIGE,5,13.755333333333333,13.992666666666667,6.89,2.0,14.238999999999999,6.0,2.0,0.0005,0,0.0,36.3,3.0,0.0,49.68,35.48,0,0.0,濱野 斗馬,32.91,0,0.16,-0.23733333333333384
20240328,04,12,1,4985,4985,53.42,4,SASHI,3,13.202666666666666,143165591.86766666,6.71,2.0,16.015,72.8,0.0,0.02,0,4.0,95.7,3.0,0.0,55.28,36.65,0,0.0,井本 昌也,40.99,0,0.15,-143165578.665
20240328,04,12,2,4847,4847,57.86,6,SASHI,4,13.202666666666666,143165591.86766666,6.72,2.0,429496745.271,33.3,11.0,0.08,0,0.0,79.4,3.0,0.0,47.77,31.85,0,1.0,佐藤 隆太郎,38.99,0,0.14,-143165578.665
20240328,04,12,3,5016,5016,53.75,1,SASHI,5,13.202666666666666,143165591.86766666,6.75,2.0,14.317,14.2,0.0,0.0,0,0.0,71.4,3.0,2.0,56.77,41.29,0,4.0,宮田 龍馬,33.13,0,0.14,-143165578.665
20240328,04,12,4,5166,5166,55.77,2,SASHI,2,13.202666666666666,143165591.86766666,6.7,2.0,14.538,18.7,0.0,0.0002,0,0.0,62.5,3.0,1.0,49.71,31.21,0,5.0,仲道 大輔,35.26,0,0.17,-143165578.665
20240328,04,12,5,5023,5023,54.66,3,SASHI,1,13.202666666666666,143165591.86766666,6.68,2.0,14.005999999999998,5.8,0.0,0.01,0,1.0,35.2,3.0,1.0,45.93,31.85,0,0.0,久永 祥平,35.4,0,0.18,-143165578.665
20240328,04,12,6,5075,5075,40.76,5,SASHI,6,13.202666666666666,143165591.86766666,6.86,2.0,11.064,0.0,0.0,0.06,0,0.0,28.2,3.0,0.0,51.74,33.14,0,0.0,中島 秀治,24.2,0,0.17,-143165578.665
20240328,04,2,1,5106,5106,55.06,1,MAKURI_SASHI,2,143165588.736,14.419333333333332,6.63,0.0,14.47,50.0,0.0,0.0006,0,0.0,75.0,3.0,0.0,49.14,37.14,0,0.0,山崎 祥,35.44,0,0.19,143165574.31666666
20240328,04,2,2,5175,5175,57.32,3,MAKURI_SASHI,6,143165588.736,14.419333333333332,6.71,0.0,15.079999999999998,2.8,1.0,0.0011,0,0.0,28.5,3.0,0.0,40.88,25.79,0,0.0,島崎 丈一朗,40.76,0,0.2,143165574.31666666
20240328,04,2,3,5130,5130,53.9,4,MAKURI_SASHI,4,143165588.736,14.419333333333332,6.65,0.0,13.707999999999998,0.0,0.0,0.0012,0,0.0,36.8,3.0,0.0,47.85,33.13,0,0.0,上野 拓馬,37.66,0,0.19,143165574.31666666
20240328,04,2,4,5289,5289,33.56,2,MAKURI_SASHI,3,143165588.736,14.419333333333332,6.64,0.0,9.858,0.0,0.0,0.0009,0,0.0,0.0,3.0,0.0,47.83,35.4,0,0.0,佃 來紀,25.5,0,0.0,143165574.31666666
20240328,04,2,5,5112,5112,50.32,6,MAKURI_SASHI,5,143165588.736,14.419333333333332,6.67,0.0,429496744.161,9.7,1.0,0.01,0,0.0,51.2,3.0,1.0,47.16,29.55,0,2.0,砂長 知輝,36.31,0,0.15,143165574.31666666
20240328,04,2,6,5197,5197,42.31,5,MAKURI_SASHI,1,143165588.736,14.419333333333332,6.6,0.0,12.189,2.8,0.0,0.0015,0,0.0,25.7,3.0,0.0,51.28,37.18,0,1.0,中野 仁照,28.85,0,0.17,143165574.31666666
20240328,04,3,1,5046,5046,52.83,2,MAKURI,4,143165591.61933336,12.002,6.65,1.0,12.327,48.1,0.0,0.0004,0,0.0,66.6,3.0,0.0,52.63,35.53,0,0.0,松山 裕基,31.45,0,0.15,143165579.61733335
20240328,04,3,2,5278,5278,45.86,3,MAKURI,5,143165591.61933336,12.002,6.69,1.0,11.197999999999999,0.0,0.0,0.01,0,0.0,100.0,3.0,0.0,51.25,31.88,0,0.0,田中 駿兵,28.66,0,0.17,143165579.61733335
20240328,04,3,3,5103,5103,50.0,1,MAKURI,4,143165591.61933336,12.002,6.65,1.0,12.481,0.0,0.0,0.0001,0,0.0,14.8,3.0,0.0,58.93,44.05,0,0.0,芝田 京介,33.13,0,0.16,143165579.61733335
20240328,04,3,4,5256,5256,51.88,5,MAKURI,1,143165591.61933336,12.002,6.56,1.0,14.058,4.8,0.0,0.11,0,0.0,26.8,3.0,0.0,53.93,37.08,0,2.0,中山 翔太,36.88,0,0.15,143165579.61733335
20240328,04,3,5,5249,5249,63.29,6,MAKURI,2,143165591.61933336,12.002,6.59,1.0,429496745.526,0.0,0.0,0.12,0,0.0,10.0,3.0,0.0,49.35,35.71,0,0.0,三木 晴斗,48.1,0,0.22,143165579.61733335
20240328,04,3,6,5217,5217,50.63,4,MAKURI,3,143165591.61933336,12.002,6.61,1.0,15.274,5.8,0.0,0.05,0,0.0,35.2,3.0,1.0,48.43,32.7,0,1.0,藤原 碧生,36.88,0,0.18,143165579.61733335
20240328,04,4,1,5135,5135,58.23,1,MAKURI,4,12.811,143165591.19433334,6.75,0.0,15.805000000000001,46.4,0.0,0.0002,0,1.0,71.4,3.0,0.0,53.22,30.99,0,0.0,仲 航太,41.77,0,0.17,-143165578.38333336
20240328,04,4,2,5077,5077,54.49,6,MAKURI,3,12.811,143165591.19433334,6.72,0.0,429496742.076,9.5,1.0,0.0024,0,0.0,33.3,3.0,0.0,48.26,32.56,0,0.0,滝沢 崚,34.62,0,0.17,-143165578.38333336
20240328,04,4,3,5051,5051,57.32,2,MAKURI,2,12.811,143165591.19433334,6.7,0.0,15.702,21.7,1.0,0.0004,0,1.0,71.7,3.0,5.0,58.75,39.38,0,3.0,松本 純平,37.58,0,0.16,-143165578.38333336
20240328,04,4,4,5232,5232,45.34,3,MAKURI,2,12.811,143165591.19433334,6.7,0.0,13.219999999999999,3.0,1.0,0.001,0,0.0,15.1,3.0,0.0,52.7,33.78,0,0.0,樅山 拓馬,35.4,0,0.17,-143165578.38333336
20240328,04,4,5,5228,5228,51.57,5,MAKURI,1,12.811,143165591.19433334,6.69,0.0,13.542,0.0,0.0,0.0019,0,0.0,27.0,3.0,0.0,43.13,28.75,0,0.0,若林 樹蘭,33.96,0,0.15,-143165578.38333336
