feature,gain,split
power_inner,184223.43866312504,33173
power_outer,172538.32246020436,31595
outer_over_inner,141897.88589659333,26615
tenji_sec,64925.044830828905,16215
wind_speed_m,55511.07466605306,10646
wave_height_cm,52521.13885784149,9926
boat_rate2,22017.443028986454,8548
boat_rate3,21339.39372485876,8555
course_first_rate,21030.795625805855,6925
course_3rd_rate,19431.291995078325,7865
motor_rate3,18894.9846919477,7709
motor_rate2,17201.176027595997,6932
power_lane,16515.085164308548,6820
is_crosswind,11829.67764094472,2111
course_avg_st,9207.953066557646,3826
tenji_rank,6532.08993858099,2500
lane_feat,4981.223220795393,1433
st_rank,4439.450783491135,1976
kimarite_makuri,3453.984659910202,1449
kimarite_sashi,2748.777926415205,1194
kimarite_makuri_sashi,2647.060931324959,1127
kimarite_nuki,2275.3548132777214,972
is_strong_wind,615.577943354845,91
dash_attack_flag,445.0443879663944,197
