feature,gain,split
__finish_rank__,310797.3418703745,719
course_3rd_rate,1771.803785698304,280
course_first_rate,336.0706365254722,257
tenji_rank,84.70732672559485,109
tenji_sec,26.699255348051768,223
boat_rate2,23.81691014301032,27
tenji_st,19.03348207247121,205
motor_rate3,17.169361733066125,30
power_inner,16.043371607376628,39
power_outer,15.301698830047314,83
power_lane,14.022107669328962,129
motor_rate2,11.271844644936806,35
boat_rate3,10.349432753509973,19
course_avg_st,8.542853391520916,70
kimarite_makuri_sashi,7.4370899237154005,92
wind_speed_m,5.430405914783478,3
kimarite_sashi,5.190659838783837,74
wave_height_cm,5.096369959392017,29
dash_attack_flag,4.735380045927492,54
outer_over_inner,3.847157793277262,51
st_rank,2.7985298763954027,8
kimarite_nuki,2.2174703586042597,10
st_rel_sec,2.0624011442611305,19
kimarite_makuri,1.775256567300648,37
st_pred_sec,0.19394983820366818,44
proba_win,0.024860274808077065,31
st_rank_in_race,0.019913350208422553,16
proba_makuri,0.004088212637398669,9
proba_sashi,0.0009443896901757398,5
dash_advantage,0.00019732690088858362,2
proba_makuri_sashi,0.0,0
wall_weak_flag,0.0,0
is_strong_wind,0.0,0
is_crosswind,0.0,0
proba_nige,0.0,0
