hd,jcd,rno,lane,regno,proba_win
20240301,02,10,1,3939,1.0000000036274914e-15
20240301,02,10,2,3873,1.0000000036274914e-15
20240301,02,10,3,4709,1.0000000036274914e-15
20240301,02,10,4,4981,1.0000000036274914e-15
20240301,02,10,5,3663,1.0000000036274914e-15
20240301,02,10,6,4619,1.0000000036274914e-15
20240301,02,11,1,4099,1.0000000036274914e-15
20240301,02,11,2,4133,1.0000000036274914e-15
20240301,02,11,3,4588,1.0000000036274914e-15
20240301,02,11,4,3072,1.0000000036274914e-15
20240301,02,11,5,4173,1.0000000036274914e-15
20240301,02,11,6,4298,1.0000000036274914e-15
20240301,02,12,1,4760,1.0000000036274914e-15
20240301,02,12,2,4532,1.0000000036274914e-15
20240301,02,12,3,4357,1.0000000036274914e-15
20240301,02,12,4,3813,1.0000000036274914e-15
20240301,02,12,5,3679,1.0000000036274914e-15
20240301,02,12,6,3576,1.0000000036274914e-15
20240301,02,1,1,4439,1.0000000036274914e-15
20240301,02,1,2,4957,1.0000000036274914e-15
20240301,02,1,3,4837,1.0000000036274914e-15
20240301,02,1,4,3569,1.0000000036274914e-15
20240301,02,1,5,3313,1.0000000036274914e-15
20240301,02,1,6,5316,1.0000000036274914e-15
20240301,02,2,1,4981,1.0000000036274914e-15
20240301,02,2,2,4555,1.0000000036274914e-15
20240301,02,2,3,4215,1.0000000036274914e-15
20240301,02,2,4,4357,1.0000000036274914e-15
20240301,02,2,5,4133,1.0000000036274914e-15
20240301,02,2,6,5008,1.0000000036274914e-15
20240301,02,3,1,3072,1.0000000036274914e-15
20240301,02,3,2,4552,1.0000000036274914e-15
20240301,02,3,3,4790,1.0000000036274914e-15
20240301,02,3,4,3377,1.0000000036274914e-15
20240301,02,3,5,5012,1.0000000036274914e-15
20240301,02,3,6,4709,1.0000000036274914e-15
20240301,02,4,1,3505,1.0000000036274914e-15
20240301,02,4,2,4298,1.0000000036274914e-15
20240301,02,4,3,4532,1.0000000036274914e-15
20240301,02,4,4,3508,1.0000000036274914e-15
20240301,02,4,5,3873,1.0000000036274914e-15
20240301,02,4,6,4952,1.0000000036274914e-15
20240301,02,5,1,4230,1.0000000036274914e-15
20240301,02,5,2,4619,1.0000000036274914e-15
20240301,02,5,3,3569,1.0000000036274914e-15
20240301,02,5,4,4760,1.0000000036274914e-15
20240301,02,5,5,4588,1.0000000036274914e-15
20240301,02,5,6,4899,1.0000000036274914e-15
20240301,02,6,1,3761,1.0000000036274914e-15
20240301,02,6,2,5124,1.0000000036274914e-15
20240301,02,6,3,3939,1.0000000036274914e-15
20240301,02,6,4,4099,1.0000000036274914e-15
20240301,02,6,5,4957,1.0000000036274914e-15
20240301,02,6,6,3813,1.0000000036274914e-15
20240301,02,7,1,3679,1.0000000036274914e-15
20240301,02,7,2,3377,1.0000000036274914e-15
20240301,02,7,3,3293,1.0000000036274914e-15
20240301,02,7,4,5008,1.0000000036274914e-15
20240301,02,7,5,5259,1.0000000036274914e-15
20240301,02,7,6,3642,1.0000000036274914e-15
20240301,02,8,1,3202,1.0000000036274914e-15
20240301,02,8,2,4790,1.0000000036274914e-15
20240301,02,8,3,4439,1.0000000036274914e-15
20240301,02,8,4,3576,1.0000000036274914e-15
20240301,02,8,5,4555,1.0000000036274914e-15
20240301,02,8,6,3508,1.0000000036274914e-15
20240301,02,9,1,4215,1.0000000036274914e-15
20240301,02,9,2,5012,1.0000000036274914e-15
20240301,02,9,3,3505,1.0000000036274914e-15
20240301,02,9,4,4230,1.0000000036274914e-15
20240301,02,9,5,3769,1.0000000036274914e-15
20240301,02,9,6,5049,1.0000000036274914e-15
20240301,03,10,1,4371,1.0000000036274914e-15
20240301,03,10,2,4061,1.0000000036274914e-15
20240301,03,10,3,4769,1.0000000036274914e-15
20240301,03,10,4,4013,1.0000000036274914e-15
20240301,03,10,5,3996,1.0000000036274914e-15
20240301,03,10,6,4361,1.0000000036274914e-15
20240301,03,11,1,4044,1.0000000036274914e-15
20240301,03,11,2,4586,1.0000000036274914e-15
20240301,03,11,3,4296,1.0000000036274914e-15
