hd,jcd,rno,lane,regno,racer_id,racer_name,p1_win
20240301,2,10,1,3939,3939,渡辺 真至,0.44599705668526113
20240301,2,10,2,3873,3873,別府 昌樹,0.08888584053671564
20240301,2,10,3,4709,4709,岡村 将也,0.03484825441141229
20240301,2,10,4,4981,4981,牧山 敦也,0.05068024224292159
20240301,2,10,5,3663,3663,木山 和幸,0.012243406829400985
20240301,2,10,6,4619,4619,伏田 裕隆,0.0005227068599271718
20240301,2,11,1,4099,4099,吉永 則雄,0.3641758896807207
20240301,2,11,2,4133,4133,高橋 正男,0.060852589109745114
20240301,2,11,3,4588,4588,田中 京介,0.3069791346678398
20240301,2,11,4,3072,3072,西田 靖,0.012441469713293539
20240301,2,11,5,4173,4173,岡谷 健吾,0.010831435820130578
20240301,2,11,6,4298,4298,宮下 元胤,0.012557058658148958
20240301,2,12,1,4760,4760,山崎 郡,0.5417882471847909
20240301,2,12,2,4532,4532,秋元 哲,0.11417758431227486
20240301,2,12,3,4357,4357,田中 和也,0.15376352936235
20240301,2,12,4,3813,3813,佐藤 大介,0.04690468239956773
20240301,2,12,5,3679,3679,飯島 昌弘,0.040344707548002394
20240301,2,12,6,3576,3576,白水 勝也,0.09818196892502082
20240301,2,3,1,3072,3072,西田 靖,0.2696749772831984
20240301,2,3,2,4552,4552,杉山 勝匡,0.04606091685488503
20240301,2,3,3,4790,4790,柳内 敬太,0.08545290570855077
20240301,2,3,4,3377,3377,塚田 修二,0.004313281512001381
20240301,2,3,5,5012,5012,加倉 侑征,0.01875162165943747
20240301,2,3,6,4709,4709,岡村 将也,0.019588838327783003
20240301,2,4,1,3505,3505,山田 竜一,0.23713803076989448
20240301,2,4,2,4298,4298,宮下 元胤,0.1122335775643254
20240301,2,4,3,4532,4532,秋元 哲,0.22038955173075905
20240301,2,4,4,3508,3508,久富 政弘,0.010145795019063548
20240301,2,4,5,3873,3873,別府 昌樹,0.009559510559659808
20240301,2,4,6,4952,4952,吉武 真也,0.0014263111661964875
20240301,2,5,1,4230,4230,濱崎 直矢,0.29843530776040655
20240301,2,5,2,4619,4619,伏田 裕隆,0.010879799294745453
20240301,2,5,3,3569,3569,増田 進,0.010147395107169985
20240301,2,5,4,4760,4760,山崎 郡,0.31178864648636095
20240301,2,5,5,4588,4588,田中 京介,0.039136700130856426
20240301,2,5,6,4899,4899,占部 一真,0.008684362676827624
20240301,2,6,1,3761,3761,山本 光雄,0.4646980327766708
20240301,2,6,2,5124,5124,上瀧 絢也,0.04672238656176514
20240301,2,6,3,3939,3939,渡辺 真至,0.16664931739549504
20240301,2,6,4,4099,4099,吉永 則雄,0.07319583332225799
20240301,2,6,5,4957,4957,竹之内 極,0.03981386809945707
20240301,2,6,6,3813,3813,佐藤 大介,0.002978839855219129
20240301,2,7,1,3679,3679,飯島 昌弘,0.4281240269895028
20240301,2,7,2,3377,3377,塚田 修二,0.040493026902213805
20240301,2,7,3,3293,3293,宮内 由紀英,0.004363927340543997
20240301,2,7,4,5008,5008,羽野 諒,0.006211564444518247
20240301,2,7,5,5259,5259,野田 昇吾,0.001383271538805116
20240301,2,7,6,3642,3642,大塚 浩二,0.028879794507624502
20240301,2,8,1,3202,3202,三品 隆浩,0.1107558978089842
20240301,2,8,2,4790,4790,柳内 敬太,0.08442827462417002
20240301,2,8,3,4439,4439,近藤 友宝,0.047300075823500924
