hd,jcd,rno,combo,is_hit,p1_lane,p1_grade,p1_national_win,p1_motor_rate2,p1_tenji_st,p1_tenji_rank,p1_st_rank,p1_course_first_rate,p2_lane,p2_grade,p2_national_win,p2_motor_rate2,p2_tenji_st,p2_tenji_rank,p2_st_rank,p3_lane,p3_grade,p3_motor_rate2,p3_tenji_st,p3_tenji_rank,p3_st_rank,diff_p1p2_st,sum_p1p2_motor,outer_push,in_cover,wind_speed_m,wave_height_cm,is_strong_wind,is_crosswind
20240309,01,10,1-2-3,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,2,A1,6.97,35.29,0.17,4.0,3.0,3,A2,28.13,0.03,2.0,1.0,-0.13,84.00999999999999,0,0,4.0,4.0,0,1
20240309,01,10,1-2-4,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,2,A1,6.97,35.29,0.17,4.0,3.0,4,A1,23.81,0.19,4.0,4.0,-0.13,84.00999999999999,0,0,4.0,4.0,0,1
20240309,01,10,1-2-5,1,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,2,A1,6.97,35.29,0.17,4.0,3.0,5,A1,41.86,0.17,5.0,3.0,-0.13,84.00999999999999,0,0,4.0,4.0,0,1
20240309,01,10,1-2-6,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,2,A1,6.97,35.29,0.17,4.0,3.0,6,B1,33.33,0.38,1.0,5.0,-0.13,84.00999999999999,0,0,4.0,4.0,0,1
20240309,01,10,1-3-2,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,3,A2,5.73,28.13,0.03,2.0,1.0,2,A1,35.29,0.17,4.0,3.0,0.010000000000000002,76.85,0,0,4.0,4.0,0,1
20240309,01,10,1-3-4,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,3,A2,5.73,28.13,0.03,2.0,1.0,4,A1,23.81,0.19,4.0,4.0,0.010000000000000002,76.85,0,0,4.0,4.0,0,1
20240309,01,10,1-3-5,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,3,A2,5.73,28.13,0.03,2.0,1.0,5,A1,41.86,0.17,5.0,3.0,0.010000000000000002,76.85,0,0,4.0,4.0,0,1
20240309,01,10,1-3-6,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,3,A2,5.73,28.13,0.03,2.0,1.0,6,B1,33.33,0.38,1.0,5.0,0.010000000000000002,76.85,0,0,4.0,4.0,0,1
20240309,01,10,1-4-2,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,4,A1,6.65,23.81,0.19,4.0,4.0,2,A1,35.29,0.17,4.0,3.0,-0.15,72.53,0,0,4.0,4.0,0,1
20240309,01,10,1-4-3,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,4,A1,6.65,23.81,0.19,4.0,4.0,3,A2,28.13,0.03,2.0,1.0,-0.15,72.53,0,0,4.0,4.0,0,1
20240309,01,10,1-4-5,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,4,A1,6.65,23.81,0.19,4.0,4.0,5,A1,41.86,0.17,5.0,3.0,-0.15,72.53,0,0,4.0,4.0,0,1
20240309,01,10,1-4-6,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,4,A1,6.65,23.81,0.19,4.0,4.0,6,B1,33.33,0.38,1.0,5.0,-0.15,72.53,0,0,4.0,4.0,0,1
20240309,01,10,1-5-2,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,5,A1,5.83,41.86,0.17,5.0,3.0,2,A1,35.29,0.17,4.0,3.0,-0.13,90.58,0,0,4.0,4.0,0,1
20240309,01,10,1-5-3,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,5,A1,5.83,41.86,0.17,5.0,3.0,3,A2,28.13,0.03,2.0,1.0,-0.13,90.58,0,0,4.0,4.0,0,1
20240309,01,10,1-5-4,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,5,A1,5.83,41.86,0.17,5.0,3.0,4,A1,23.81,0.19,4.0,4.0,-0.13,90.58,0,0,4.0,4.0,0,1
20240309,01,10,1-5-6,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,5,A1,5.83,41.86,0.17,5.0,3.0,6,B1,33.33,0.38,1.0,5.0,-0.13,90.58,0,0,4.0,4.0,0,1
20240309,01,10,1-6-2,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,6,B1,5.53,33.33,0.38,1.0,5.0,2,A1,35.29,0.17,4.0,3.0,-0.34,82.05,0,0,4.0,4.0,0,1
20240309,01,10,1-6-3,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,6,B1,5.53,33.33,0.38,1.0,5.0,3,A2,28.13,0.03,2.0,1.0,-0.34,82.05,0,0,4.0,4.0,0,1
20240309,01,10,1-6-4,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,6,B1,5.53,33.33,0.38,1.0,5.0,4,A1,23.81,0.19,4.0,4.0,-0.34,82.05,0,0,4.0,4.0,0,1
20240309,01,10,1-6-5,0,1,A2,6.45,48.72,0.04,3.0,2.0,62.5,6,B1,5.53,33.33,0.38,1.0,5.0,5,A1,41.86,0.17,5.0,3.0,-0.34,82.05,0,0,4.0,4.0,0,1
20240309,01,10,2-1-3,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,1,A2,6.45,48.72,0.04,3.0,2.0,3,A2,28.13,0.03,2.0,1.0,0.13,84.00999999999999,0,1,4.0,4.0,0,1
20240309,01,10,2-1-4,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,1,A2,6.45,48.72,0.04,3.0,2.0,4,A1,23.81,0.19,4.0,4.0,0.13,84.00999999999999,0,1,4.0,4.0,0,1
20240309,01,10,2-1-5,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,1,A2,6.45,48.72,0.04,3.0,2.0,5,A1,41.86,0.17,5.0,3.0,0.13,84.00999999999999,0,1,4.0,4.0,0,1
20240309,01,10,2-1-6,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,1,A2,6.45,48.72,0.04,3.0,2.0,6,B1,33.33,0.38,1.0,5.0,0.13,84.00999999999999,0,1,4.0,4.0,0,1
20240309,01,10,2-3-1,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,3,A2,5.73,28.13,0.03,2.0,1.0,1,A2,48.72,0.04,3.0,2.0,0.14,63.42,0,0,4.0,4.0,0,1
20240309,01,10,2-3-4,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,3,A2,5.73,28.13,0.03,2.0,1.0,4,A1,23.81,0.19,4.0,4.0,0.14,63.42,0,0,4.0,4.0,0,1
20240309,01,10,2-3-5,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,3,A2,5.73,28.13,0.03,2.0,1.0,5,A1,41.86,0.17,5.0,3.0,0.14,63.42,0,0,4.0,4.0,0,1
20240309,01,10,2-3-6,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,3,A2,5.73,28.13,0.03,2.0,1.0,6,B1,33.33,0.38,1.0,5.0,0.14,63.42,0,0,4.0,4.0,0,1
20240309,01,10,2-4-1,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,4,A1,6.65,23.81,0.19,4.0,4.0,1,A2,48.72,0.04,3.0,2.0,-0.01999999999999999,59.099999999999994,0,0,4.0,4.0,0,1
20240309,01,10,2-4-3,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,4,A1,6.65,23.81,0.19,4.0,4.0,3,A2,28.13,0.03,2.0,1.0,-0.01999999999999999,59.099999999999994,0,0,4.0,4.0,0,1
20240309,01,10,2-4-5,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,4,A1,6.65,23.81,0.19,4.0,4.0,5,A1,41.86,0.17,5.0,3.0,-0.01999999999999999,59.099999999999994,0,0,4.0,4.0,0,1
20240309,01,10,2-4-6,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,4,A1,6.65,23.81,0.19,4.0,4.0,6,B1,33.33,0.38,1.0,5.0,-0.01999999999999999,59.099999999999994,0,0,4.0,4.0,0,1
20240309,01,10,2-5-1,0,2,A1,6.97,35.29,0.17,4.0,3.0,26.3,5,A1,5.83,41.86,0.17,5.0,3.0,1,A2,48.72,0.04,3.0,2.0,0.0,77.15,0,0,4.0,4.0,0,1
