hd,jcd,rno,win_lane,win_racer_id,decision
20240208,01,10,2,5217,差し
20240208,01,11,4,4381,まくり
20240208,01,12,1,4743,逃げ
20240208,01,1,3,5217,まくり
20240208,01,2,3,4925,まくり
20240208,01,3,5,4325,まくり差し
20240208,01,4,1,3896,逃げ
20240208,01,5,2,4572,まくり
20240208,01,6,1,3872,逃げ
20240208,01,7,3,4743,まくり
20240208,01,8,1,5166,逃げ
20240208,01,9,1,5216,逃げ
20240208,02,10,2,4845,差し
20240208,02,11,1,4240,逃げ
20240208,02,12,1,3845,逃げ
20240208,02,1,3,4414,まくり
20240208,02,2,4,4240,まくり差し
20240208,02,3,4,4243,差し
20240208,02,4,3,4845,差し
20240208,02,5,4,3845,まくり差し
20240208,02,6,1,4791,逃げ
20240208,02,7,1,4746,逃げ
20240208,02,8,3,4690,抜き
20240208,02,9,2,4878,まくり
20240208,04,10,1,4787,逃げ
20240208,04,11,1,4939,逃げ
20240208,04,12,5,3590,まくり差し
20240208,04,1,4,5042,差し
20240208,04,2,1,4266,抜き
20240208,04,3,1,4738,逃げ
20240208,04,4,1,4140,逃げ
20240208,04,5,1,4610,逃げ
20240208,04,6,1,4535,逃げ
20240208,04,7,1,4191,逃げ
20240208,04,8,1,3716,逃げ
20240208,04,9,1,4075,逃げ
20240208,06,10,3,3624,差し
20240208,06,11,1,4068,逃げ
20240208,06,12,1,5068,逃げ
20240208,06,1,3,3848,まくり差し
20240208,06,2,1,4181,逃げ
20240208,06,3,2,5076,抜き
20240208,06,4,1,4962,逃げ
20240208,06,5,1,5256,逃げ
20240208,06,6,4,5068,差し
20240208,06,7,2,5010,差し
20240208,06,8,5,4840,まくり差し
20240208,06,9,1,4431,逃げ
20240208,07,10,1,3959,逃げ
20240208,07,11,3,4914,まくり差し
20240208,07,12,1,4804,逃げ
20240208,07,1,1,4516,逃げ
20240208,07,2,4,4261,まくり差し
20240208,07,3,3,4786,まくり差し
20240208,07,4,3,4024,まくり差し
20240208,07,5,6,4524,まくり
20240208,07,6,1,4199,逃げ
20240208,07,7,5,4604,まくり差し
20240208,07,8,1,4019,逃げ
20240208,07,9,6,3941,差し
20240208,09,10,3,3538,差し
20240208,09,11,1,4436,逃げ
20240208,09,12,2,4888,差し
20240208,09,1,1,4156,逃げ
20240208,09,2,1,3505,逃げ
20240208,09,3,1,4641,逃げ
20240208,09,4,2,3538,差し
20240208,09,5,1,4515,逃げ
20240208,09,6,1,4489,逃げ
20240208,09,7,2,5221,差し
20240208,09,8,2,4196,差し
20240208,09,9,1,3986,逃げ
20240208,11,10,1,4887,逃げ
20240208,11,11,1,4121,逃げ
20240208,11,12,1,3721,逃げ
20240208,11,1,1,4128,逃げ
20240208,11,2,3,4182,まくり
20240208,11,3,1,4676,逃げ
20240208,11,4,2,3867,差し
20240208,11,5,3,4121,差し
20240208,11,6,1,4131,逃げ
20240208,11,7,1,4382,逃げ
20240208,11,8,1,5075,逃げ
20240208,11,9,1,3805,逃げ
20240208,12,10,1,4015,逃げ
20240208,12,11,1,4644,逃げ
20240208,12,12,1,4788,逃げ
20240208,12,1,1,4200,逃げ
20240208,12,2,5,4876,まくり差し
20240208,12,3,2,4495,差し
20240208,12,4,4,2878,まくり
20240208,12,5,1,3702,逃げ
20240208,12,6,1,4560,逃げ
20240208,12,7,2,4876,差し
20240208,12,8,1,3921,抜き
20240208,12,9,4,4012,抜き
20240208,14,10,1,4365,逃げ
20240208,14,11,1,4247,抜き
20240208,14,12,4,3662,恵まれ
20240208,14,1,1,4776,逃げ
20240208,14,2,2,3105,まくり
20240208,14,3,1,4134,逃げ
20240208,14,4,3,3578,まくり
20240208,14,5,1,4691,抜き
20240208,14,6,2,4113,まくり
20240208,14,7,2,4571,まくり
20240208,14,8,3,3875,まくり
20240208,14,9,3,3477,まくり
20240208,20,10,3,4564,差し
20240208,20,11,1,3532,逃げ
20240208,20,12,1,4236,逃げ
20240208,20,1,1,4151,逃げ
20240208,20,2,1,4252,逃げ
20240208,20,3,5,3265,逃げ
20240208,20,4,5,3362,差し
20240208,20,5,1,4043,逃げ
20240208,20,6,1,3517,逃げ
20240208,20,7,1,4811,逃げ
20240208,20,8,1,4413,逃げ
20240208,20,9,1,4797,逃げ
20240208,21,10,1,4848,逃げ
20240208,21,11,1,4371,逃げ
20240208,21,12,1,4320,逃げ
20240208,21,1,1,4433,逃げ
20240208,21,2,1,4155,逃げ
20240208,21,3,1,4715,逃げ
20240208,21,4,1,4590,抜き
20240208,21,5,1,4445,逃げ
20240208,21,6,1,4079,逃げ
20240208,21,7,1,4148,逃げ
20240208,21,8,1,4544,逃げ
20240208,21,9,5,4715,まくり差し
20240208,23,10,1,4066,抜き
20240208,23,11,1,4503,逃げ
20240208,23,12,1,4456,逃げ
20240208,23,1,1,4536,逃げ
20240208,23,2,2,4066,抜き
20240208,23,3,1,4142,逃げ
20240208,23,4,1,4225,逃げ
20240208,23,5,1,5047,逃げ
20240208,23,6,6,4857,抜き
20240208,23,7,3,5026,まくり差し
20240208,23,8,1,3268,逃げ
20240208,23,9,3,4748,まくり差し
