hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240219,01,10,1,4420,津久井 拓也,A2,36,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.13,44.35,62.1,5.69,39.52,57.49,68.0,37.14,45.71,51.0,40.82,51.02,52.4,-0.5,6.71,0.24,0,60.0,94.0,0.14,0.0,0.0,0.0,2.0,2,5,14.82,14.400666666666666,13.792000000000002,-0.6086666666666645,-0.020000000000000004,-0.01999999999999999,0.03,0,0,1,1-4-5
20240219,01,10,2,4889,後藤 盛也,A2,35,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.88,44.44,58.33,4.4,28.0,44.0,44.0,40.91,54.55,22.0,20.83,37.5,52.1,-0.5,6.79,0.11,0,24.2,60.6,0.13,3.0,5.0,0.0,0.0,5,4,15.900999999999998,14.400666666666666,13.792000000000002,-0.6086666666666645,-0.020000000000000004,-0.01999999999999999,0.03,0,0,1,1-4-5
20240219,01,10,3,4808,松尾 拓,A1,35,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.05,45.76,57.63,6.44,40.74,55.56,31.0,29.17,50.0,70.0,21.88,40.63,52.0,-0.5,6.75,0.11,0,32.4,78.3,0.16,6.0,2.0,4.0,0.0,4,4,12.481,14.400666666666666,13.792000000000002,-0.6086666666666645,-0.020000000000000004,-0.01999999999999999,0.03,0,0,1,1-4-5
20240219,01,10,4,3448,高山 秀雄,B1,53,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.04,17.72,34.18,4.34,24.68,32.47,51.0,50.0,68.75,47.0,27.91,39.53,52.0,-0.5,6.8,0.09,0,2.7,40.5,0.17,0.0,0.0,1.0,0.0,6,2,17.724,14.400666666666666,13.792000000000002,-0.6086666666666645,-0.020000000000000004,-0.01999999999999999,0.03,1,0,1,1-4-5
20240219,01,10,5,4645,上村 純一,A1,43,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.33,47.97,63.41,6.15,46.83,59.52,60.0,28.0,52.0,29.0,36.54,63.46,52.0,-0.5,6.66,0.07,0,10.2,56.4,0.13,1.0,0.0,3.0,0.0,1,1,12.598,14.400666666666666,13.792000000000002,-0.6086666666666645,-0.020000000000000004,-0.01999999999999999,0.03,0,0,1,1-4-5
20240219,01,10,6,4049,荒川 健太,A2,43,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.97,39.25,65.42,0.0,0.0,0.0,43.0,24.24,54.55,40.0,34.55,50.91,56.4,-0.5,6.74,0.1,0,2.6,26.3,0.23,0.0,0.0,0.0,0.0,3,3,11.053999999999998,14.400666666666666,13.792000000000002,-0.6086666666666645,-0.020000000000000004,-0.01999999999999999,0.03,0,0,1,1-4-5
20240219,01,11,1,4024,井口 佳典,A1,46,曇り,8,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,7.06,47.62,60.0,7.47,47.06,64.71,38.0,41.67,58.33,44.0,34.09,47.73,52.0,-0.5,6.69,0.03,0,68.8,82.2,0.14,0.0,0.0,0.0,0.0,1,1,17.136999999999997,13.476333333333331,12.621333333333334,-0.8549999999999969,0.11000000000000001,-0.09000000000000001,0.06,0,0,0,1-2-4
20240219,01,11,2,4610,佐藤 大佑,A1,33,曇り,8,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.09,40.91,56.82,7.0,54.55,72.73,11.0,15.63,43.75,61.0,40.91,54.55,53.5,0.0,6.69,0.06,0,33.3,71.4,0.17,6.0,4.0,0.0,2.0,1,3,8.543,13.476333333333331,12.621333333333334,-0.8549999999999969,0.11000000000000001,-0.09000000000000001,0.06,0,0,0,1-2-4
20240219,01,11,3,4468,大池 佑来,A1,37,曇り,8,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,7.25,59.26,69.63,9.0,88.89,100.0,57.0,33.33,51.85,74.0,21.62,45.95,52.0,-0.5,6.8,0.03,0,15.5,64.4,0.13,1.0,2.0,3.0,1.0,3,1,14.748999999999999,13.476333333333331,12.621333333333334,-0.8549999999999969,0.11000000000000001,-0.09000000000000001,0.06,0,0,0,1-2-4
20240219,01,11,4,4261,岡 祐臣,A1,39,曇り,8,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.68,50.46,67.89,6.56,44.44,77.78,48.0,26.09,52.17,72.0,38.18,50.91,55.2,0.0,6.82,0.14,0,17.3,65.2,0.15,7.0,0.0,1.0,0.0,4,5,11.835,13.476333333333331,12.621333333333334,-0.8549999999999969,0.11000000000000001,-0.09000000000000001,0.06,0,0,0,1-2-4
20240219,01,11,5,3842,星野 太郎,A2,47,曇り,8,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.08,42.52,65.35,5.26,29.63,40.74,56.0,24.14,44.83,42.0,40.82,69.39,52.4,0.0,6.78,0.05,0,6.8,43.1,0.18,0.0,0.0,3.0,0.0,2,2,11.190000000000001,13.476333333333331,12.621333333333334,-0.8549999999999969,0.11000000000000001,-0.09000000000000001,0.06,0,0,0,1-2-4
20240219,01,11,6,3340,池田 雷太,B1,58,曇り,8,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.0,21.43,52.86,3.63,6.25,31.25,36.0,39.13,56.52,56.0,32.69,42.31,54.1,-0.5,6.83,0.11,0,2.7,25.0,0.19,0.0,0.0,0.0,1.0,5,4,14.839,13.476333333333331,12.621333333333334,-0.8549999999999969,0.11000000000000001,-0.09000000000000001,0.06,0,0,0,1-2-4
20240219,01,12,1,4939,宮之原 輝紀,A1,26,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,7.67,60.91,75.45,7.16,52.63,73.68,46.0,32.0,52.0,64.0,39.53,51.16,52.0,-0.5,6.72,0.0001,1,85.0,96.6,0.13,0.0,0.0,0.0,3.0,4,1,14.601999999999999,13.805999999999997,143165591.01033333,143165577.20433334,0.049999999999999996,0.020000000000000004,0.09999999999999999,0,0,0,2-1-4
20240219,01,12,2,4787,椎名 豊,A1,35,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,6.9,46.9,60.18,7.38,63.0,75.0,21.0,25.81,25.81,53.0,45.45,61.36,52.0,0.0,6.72,0.0014000000000000002,1,32.5,70.0,0.13,7.0,5.0,0.0,1.0,4,2,12.183,13.805999999999997,143165591.01033333,143165577.20433334,0.049999999999999996,0.020000000000000004,0.09999999999999999,0,0,0,2-1-4
20240219,01,12,3,4748,渡邉 雄朗,A2,37,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,6.2,49.14,65.52,5.74,44.44,55.56,67.0,35.71,46.43,15.0,23.08,30.77,52.5,0.0,6.61,0.01,0,21.9,58.5,0.16,4.0,2.0,2.0,1.0,1,3,14.633,13.805999999999997,143165591.01033333,143165577.20433334,0.049999999999999996,0.020000000000000004,0.09999999999999999,0,0,0,2-1-4
20240219,01,12,4,3686,鳥居塚 孝博,A2,49,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,5.65,34.86,55.05,5.83,37.84,59.46,64.0,50.0,58.33,35.0,13.95,25.58,51.5,-0.5,6.64,0.06,0,8.8,52.9,0.13,1.0,0.0,1.0,1.0,2,4,18.490000000000002,13.805999999999997,143165591.01033333,143165577.20433334,0.049999999999999996,0.020000000000000004,0.09999999999999999,0,0,0,2-1-4
20240219,01,12,5,5150,坂本 雄紀,B1,29,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,4.42,25.64,38.46,3.72,20.25,25.32,23.0,44.44,62.96,17.0,32.65,51.02,51.0,0.0,6.7,0.08,0,10.8,35.1,0.13,2.0,0.0,1.0,1.0,3,5,15.983999999999998,13.805999999999997,143165591.01033333,143165577.20433334,0.049999999999999996,0.020000000000000004,0.09999999999999999,0,0,0,2-1-4
20240219,01,12,6,4156,浜野 孝志,A2,43,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,5.72,40.52,57.76,5.82,27.27,63.64,39.0,18.75,46.88,23.0,36.54,50.0,57.0,-0.5,6.74,0.18,0,0.0,21.4,0.2,0.0,0.0,0.0,0.0,5,6,429496738.557,13.805999999999997,143165591.01033333,143165577.20433334,0.049999999999999996,0.020000000000000004,0.09999999999999999,0,0,0,2-1-4
20240219,01,1,1,4358,松本 庸平,B1,39,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.26,26.53,38.78,5.53,41.18,58.82,30.0,21.43,50.0,66.0,44.9,65.31,52.0,-0.5,6.66,0.09,0,36.6,63.3,0.17,0.0,0.0,0.0,0.0,1,4,9.084999999999999,11.119,143165584.96833333,143165573.84933335,0.26,-0.2691,0.17909999999999998,0,0,1,1-3-5
20240219,01,1,2,3889,須藤 隆雄,B1,48,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.05,22.83,30.43,4.51,26.67,37.78,37.0,35.48,61.29,62.0,33.33,48.89,54.7,-0.5,6.85,0.04,0,21.8,53.1,0.17,2.0,4.0,0.0,1.0,6,3,13.273999999999997,11.119,143165584.96833333,143165573.84933335,0.26,-0.2691,0.17909999999999998,0,0,1,1-3-5
20240219,01,1,3,3877,松浦 博人,B1,46,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.33,28.97,50.47,6.0,42.86,64.29,18.0,25.0,43.75,11.0,37.25,56.86,56.7,-0.5,6.74,0.01,0,7.5,45.0,0.17,0.0,2.0,1.0,0.0,2,2,10.998000000000001,11.119,143165584.96833333,143165573.84933335,0.26,-0.2691,0.17909999999999998,0,0,1,1-3-5
20240219,01,1,4,4270,岸本 雄貴,B1,41,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,3.7,17.0,32.0,4.67,33.33,55.56,45.0,32.0,48.0,28.0,30.0,52.0,63.5,-0.5,6.81,0.27,0,8.0,32.0,0.2,1.0,0.0,1.0,0.0,4,6,429496741.32,11.119,143165584.96833333,143165573.84933335,0.26,-0.2691,0.17909999999999998,0,0,1,1-3-5
20240219,01,1,5,3653,品川 賢次,B1,50,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.37,25.71,55.24,5.12,31.58,51.32,53.0,14.29,35.71,33.0,44.0,62.0,54.1,-0.5,6.78,0.0009,1,2.5,53.8,0.18,0.0,0.0,1.0,0.0,3,1,7.909000000000001,11.119,143165584.96833333,143165573.84933335,0.26,-0.2691,0.17909999999999998,0,0,1,1-3-5
20240219,01,1,6,4615,板倉 敦史,B1,43,曇り,6,2.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.62,20.93,39.53,5.73,43.24,48.65,15.0,9.68,22.58,38.0,26.0,44.0,52.7,0.0,6.82,0.18,0,0.0,19.5,0.21,0.0,0.0,0.0,0.0,5,5,5.676,11.119,143165584.96833333,143165573.84933335,0.26,-0.2691,0.17909999999999998,0,0,1,1-3-5
20240219,01,2,1,4619,伏田 裕隆,B1,41,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,4.67,28.13,42.19,4.12,11.76,47.06,28.0,34.62,57.69,65.0,31.91,51.06,53.0,0.0,6.91,0.1,0,33.3,55.5,0.18,0.0,0.0,0.0,0.0,6,1,13.588,11.845999999999998,143165587.49133334,143165575.64533335,0.1,-0.19,0.05000000000000002,0,0,0,3-1-6
20240219,01,2,2,4078,渡辺 史之,B1,45,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,3.82,20.0,31.67,4.41,27.05,39.34,75.0,25.93,51.85,68.0,32.69,48.08,52.6,-0.5,6.72,0.14,0,0.0,36.8,0.18,0.0,0.0,0.0,0.0,1,3,10.270999999999999,11.845999999999998,143165587.49133334,143165575.64533335,0.1,-0.19,0.05000000000000002,0,0,0,3-1-6
20240219,01,2,3,4431,石塚 裕介,B1,37,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,5.83,39.13,59.78,4.3,26.67,33.33,41.0,27.27,50.0,24.0,42.22,62.22,52.0,-0.5,6.79,0.21,0,5.4,48.6,0.14,1.0,0.0,1.0,0.0,4,5,11.678999999999998,11.845999999999998,143165587.49133334,143165575.64533335,0.1,-0.19,0.05000000000000002,0,0,0,3-1-6
20240219,01,2,4,3392,小森 信雄,B1,58,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,4.45,25.27,35.16,3.42,21.05,21.05,69.0,20.69,34.48,21.0,40.0,70.0,52.0,-0.5,6.77,0.31,0,3.3,26.6,0.17,0.0,0.0,0.0,1.0,2,6,429496738.377,11.845999999999998,143165587.49133334,143165575.64533335,0.1,-0.19,0.05000000000000002,0,0,0,3-1-6
