hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240226,01,10,1,4566,0.24,0.06,0.14,3,16.586
20240226,01,10,2,4594,0.23,0.08,0.15,4,15.630999999999998
20240226,01,10,3,4789,0.25,0.19,0.15,6,429496748.952
20240226,01,10,4,3713,0.21,0.0004,0.12,2,10.023
20240226,01,10,5,4216,0.22,0.0,0.16,1,9.292
20240226,01,10,6,3414,0.23,0.09,0.16,5,3.9509999999999996
20240226,01,11,1,4677,0.26,,0.14,1,12.781
20240226,01,11,2,4700,0.23,,0.19,1,13.981
20240226,01,11,3,3838,0.2,,0.13,1,13.612
20240226,01,11,4,3966,0.22,,0.17,1,20.622999999999998
20240226,01,11,5,4436,0.18,,0.15,1,13.684
20240226,01,11,6,3448,0.24,,0.18,1,15.154
20240226,01,12,1,3161,0.31,0.07,0.15,1,18.843999999999998
20240226,01,12,2,3339,0.2,0.13,0.16,4,12.76
20240226,01,12,3,3400,0.19,0.12,0.21,3,9.686
20240226,01,12,4,3881,0.17,0.14,0.16,5,17.922
20240226,01,12,5,5004,0.11,0.09,0.15,2,11.661000000000001
20240226,01,12,6,5242,0.1,0.22,0.18,6,429496740.18
20240226,01,1,1,5004,0.16,0.17,0.18,4,11.461
20240226,01,1,2,4467,0.19,0.0005,0.15,2,16.785
20240226,01,1,3,2538,0.15,0.0001,0.22,1,9.544
20240226,01,1,4,4693,0.22,0.08,0.17,3,15.181999999999999
20240226,01,1,5,5285,0.29,0.33,0.23,6,429496738.488
20240226,01,1,6,3945,0.43,0.28,0.18,5,16.908
20240226,01,2,1,5177,0.18,0.01,0.15,1,6.151
20240226,01,2,2,4788,0.19,0.08,0.14,4,14.431
20240226,01,2,3,3414,0.25,0.05,0.16,2,4.2509999999999994
20240226,01,2,4,4058,0.23,0.05,0.19,2,12.183
20240226,01,2,5,5222,0.26,0.01,0.16,1,7.963
20240226,01,2,6,3339,0.41,0.07,0.14,3,12.86
20240226,01,3,1,4639,0.15,0.02,0.15,1,18.447999999999997
20240226,01,3,2,4440,0.13,0.07,0.17,4,12.606999999999998
20240226,01,3,3,3441,0.17,0.19,0.16,5,6.522
20240226,01,3,4,4700,0.12,0.25,0.18,6,429496743.081
20240226,01,3,5,4566,0.09,0.03,0.15,2,16.686
20240226,01,3,6,4872,0.25,0.04,0.2,3,16.741999999999997
20240226,01,4,1,3448,0.18,,0.16,1,15.154
20240226,01,4,2,4216,0.18,,0.18,1,9.292
20240226,01,4,3,4988,0.08,,0.16,1,12.289
20240226,01,4,4,4789,0.19,,0.16,1,19.851999999999997
20240226,01,4,5,3966,0.26,,0.17,1,20.622999999999998
20240226,01,4,6,5029,0.19,,0.15,1,18.268
20240226,01,5,1,3713,0.15,0.05,0.11,3,9.922999999999998
