hd,jcd,rno,label_3t,win_lane
20240104,1,1,6-1-5,6
20240104,1,2,2-1-5,2
20240104,1,3,6-4-1,6
20240104,1,4,6-4-3,6
20240104,1,5,3-2-6,3
20240104,1,6,1-3-2,1
20240104,1,7,1-3-4,1
20240104,1,8,5-2-1,5
20240104,1,9,4-1-2,4
20240104,1,10,2-1-4,2
20240104,1,11,1-6-3,1
20240104,1,12,1-3-2,1
20240104,2,1,2-1-4,2
20240104,2,2,3-1-6,3
20240104,2,3,2-3-5,2
20240104,2,4,1-2-5,1
20240104,2,5,4-1-2,4
20240104,2,6,1-3-6,1
20240104,2,7,1-2-3,1
20240104,2,8,1-5-2,1
20240104,2,9,5-6-4,5
20240104,2,10,3-1-6,3
20240104,2,11,1-5-6,1
20240104,2,12,1-5-2,1
20240104,3,1,1-2-6,1
20240104,3,2,1-6-5,1
20240104,3,3,1-5-2,1
20240104,3,4,1-3-6,1
20240104,3,5,2-1-6,2
20240104,3,6,1-5-6,1
20240104,3,7,2-1-4,2
20240104,3,8,1-2-4,1
20240104,3,9,1-2-3,1
20240104,3,10,1-3-2,1
20240104,3,11,1-2-3,1
20240104,3,12,4-1-3,4
20240104,4,1,3-2-5,3
20240104,4,2,1-2-5,1
20240104,4,3,4-6-5,4
20240104,4,4,4-2-5,4
20240104,4,5,1-2-3,1
20240104,4,6,5-6-1,5
20240104,4,7,5-4-2,5
20240104,4,8,1-3-2,1
20240104,4,9,3-5-6,3
20240104,4,10,1-2-3,1
20240104,4,11,1-4-3,1
20240104,4,12,2-1-3,2
20240104,5,1,4-1-3,4
20240104,5,2,5-2-1,5
20240104,5,3,1-4-3,1
20240104,5,4,2-1-6,2
20240104,5,5,4-3-1,4
20240104,5,6,4-1-3,4
20240104,5,7,3-1-6,3
20240104,5,8,6-5-4,6
20240104,5,9,2-3-6,2
20240104,5,10,2-1-4,2
20240104,5,11,不成立,
20240104,5,12,1-4-2,1
20240104,7,1,3-1-5,3
20240104,7,2,2-5-1,2
20240104,7,3,2-4-1,2
20240104,7,4,4-5-3,4
20240104,7,5,3-2-4,3
20240104,7,6,2-1-4,2
20240104,7,7,3-4-1,3
20240104,7,8,1-6-5,1
20240104,7,9,1-3-6,1
20240104,7,10,4-1-2,4
20240104,7,11,1-2-3,1
20240104,7,12,1-2-5,1
20240104,8,1,1-4-3,1
20240104,8,2,1-2-4,1
20240104,8,3,2-1-3,2
20240104,8,4,2-1-4,2
20240104,8,5,2-1-3,2
20240104,8,6,4-6-2,4
20240104,8,7,3-1-6,3
20240104,8,8,1-3-2,1
20240104,8,9,1-6-4,1
20240104,8,10,1-3-2,1
20240104,8,11,1-3-5,1
20240104,8,12,1-2-3,1
20240104,9,1,1-2-4,1
20240104,9,2,1-3-4,1
20240104,9,3,1-2-4,1
20240104,9,4,1-4-3,1
20240104,9,5,5-1-4,5
20240104,9,6,1-2-3,1
20240104,9,7,1-5-3,1
20240104,9,8,1-6-3,1
20240104,9,9,1-2-3,1
20240104,9,10,4-5-1,4
20240104,9,11,3-1-2,3
20240104,9,12,2-1-6,2
20240104,11,1,3-1-5,3
20240104,11,2,3-4-1,3
20240104,11,3,2-1-3,2
20240104,11,4,1-2-4,1
20240104,11,5,4-1-3,4
20240104,11,6,1-5-3,1
20240104,11,7,3-2-4,3
20240104,11,8,4-5-2,4
20240104,11,9,1-4-6,1
20240104,11,10,3-1-2,3
20240104,11,11,1-2-5,1
20240104,11,12,1-2-4,1
20240104,12,1,1-4-2,1
20240104,12,2,3-5-2,3
20240104,12,3,3-2-5,3
20240104,12,4,6-4-3,6
20240104,12,5,1-2-3,1
20240104,12,6,1-4-3,1
20240104,12,7,3-6-5,3
20240104,12,8,1-3-2,1
20240104,12,9,3-1-5,3
20240104,12,10,2-1-3,2
20240104,12,11,1-2-3,1
20240104,12,12,2-1-3,2
20240104,13,1,3-4-1,3
20240104,13,2,1-2-6,1
20240104,13,3,1-5-4,1
20240104,13,4,1-4-2,1
20240104,13,5,1-4-2,1
20240104,13,6,1-3-4,1
20240104,13,7,3-5-2,3
20240104,13,8,1-2-4,1
20240104,13,9,1-2-4,1
20240104,13,10,5-3-2,5
20240104,13,11,1-4-2,1
20240104,13,12,1-4-3,1
20240104,14,1,1-6-3,1
20240104,14,2,1-2-5,1
20240104,14,3,1-2-6,1
20240104,14,4,1-4-3,1
20240104,14,5,4-1-5,4
20240104,14,6,4-2-3,4
20240104,14,7,1-3-5,1
20240104,14,8,2-1-3,2
20240104,14,9,3-1-6,3
20240104,14,10,2-1-3,2
20240104,14,11,4-3-5,4
20240104,14,12,1-3-4,1
20240104,17,1,1-2-3,1
20240104,17,2,1-3-5,1
20240104,17,3,3-2-1,3
20240104,17,4,1-3-2,1
20240104,17,5,1-2-3,1
20240104,17,6,2-1-3,2
20240104,17,7,1-4-6,1
20240104,17,8,3-1-4,3
20240104,17,9,1-2-3,1
20240104,17,10,5-2-4,5
20240104,17,11,5-2-3,5
20240104,17,12,1-3-5,1
20240104,19,1,1-2-3,1
20240104,19,2,2-1-4,2
20240104,19,3,5-2-1,5
20240104,19,4,3-1-2,3
20240104,19,5,1-5-2,1
20240104,19,6,4-2-1,4
20240104,19,7,1-2-5,1
20240104,19,8,1-4-5,1
20240104,19,9,1-6-3,1
20240104,19,10,4-2-1,4
20240104,19,11,1-4-6,1
20240104,19,12,1-2-3,1
20240104,22,1,2-1-4,2
20240104,22,2,1-3-4,1
20240104,22,3,4-3-5,4
20240104,22,4,3-1-4,3
20240104,22,5,1-6-2,1
20240104,22,6,1-4-6,1
20240104,22,7,1-2-4,1
20240104,22,8,1-3-4,1
20240104,22,9,2-1-3,2
20240104,22,10,2-1-5,2
20240104,22,11,4-3-2,4
20240104,22,12,3-1-2,3
20240104,23,1,3-1-4,3
20240104,23,2,5-2-1,5
20240104,23,3,1-3-4,1
20240104,23,4,5-6-3,5
20240104,23,5,1-2-5,1
20240104,23,6,1-2-3,1
20240104,23,7,1-2-3,1
20240104,23,8,3-4-1,3
20240104,23,9,5-6-2,5
