hd,jcd,rno,lane,regno,st,tenji_st,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240127,01,10,1,3907,0.15,0.04,46,2,0.17,68.7,83.3
20240127,01,10,2,3686,0.15,0.01,48,40,0.15,11.6,58.1
20240127,01,10,3,5109,0.16,0.04,41,2,0.14,8.0,56.0
20240127,01,10,4,4834,0.14,0.27,53,25,0.16,3.1,43.7
20240127,01,10,5,3268,0.14,0.1,46,8,0.2,0.0,25.9
20240127,01,10,6,4748,0.12,0.16,31,14,0.16,2.7,40.5
20240127,01,11,1,3532,0.15,0.06,38,4,0.16,60.0,82.2
20240127,01,11,2,4370,0.17,0.11,32,9,0.15,32.6,80.4
20240127,01,11,3,4318,0.14,0.19,47,17,0.14,15.2,52.1
20240127,01,11,4,4506,0.16,0.11,34,9,0.13,16.2,53.4
20240127,01,11,5,4949,0.18,0.05,36,3,0.16,12.5,52.0
20240127,01,11,6,4902,0.23,0.21,43,19,0.19,2.5,20.5
20240127,01,12,1,4760,0.11,0.0002,31,40,0.13,68.6,88.0
20240127,01,12,2,4512,0.1,0.08,31,6,0.16,17.0,72.3
20240127,01,12,3,3679,0.12,0.17,43,15,0.14,7.5,72.5
20240127,01,12,4,4659,0.11,0.18,49,16,0.12,19.1,74.4
20240127,01,12,5,4331,0.09,0.16,47,14,0.17,4.5,29.5
20240127,01,12,6,4518,0.09,0.22,39,20,0.19,6.2,37.5
20240127,01,1,1,3268,0.17,0.01,71,40,0.13,73.3,96.6
20240127,01,1,2,4420,0.21,0.05,72,3,0.13,14.8,74.4
20240127,01,1,3,4902,0.21,0.05,67,3,0.17,6.1,40.8
20240127,01,1,4,3692,0.15,0.11,73,9,0.13,7.1,42.8
20240127,01,1,5,4822,0.2,0.16,69,14,0.21,2.8,40.0
20240127,01,1,6,4293,0.36,0.11,75,9,0.16,0.0,26.1
20240127,01,2,1,3790,0.14,0.0001,64,40,0.15,43.7,68.7
20240127,01,2,2,4949,0.19,0.05,54,3,0.16,10.8,64.8
20240127,01,2,3,3502,0.18,0.1,63,8,0.18,20.0,64.0
20240127,01,2,4,3907,0.1,0.02,57,40,0.17,16.6,50.0
