hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240208,1,10,1,4389,伊藤 喜智,B1,38,晴,2,6.0,4.0,第17回マンスリーBOATRACE杯,差し,5.35,32.97,58.24,2.96,8.33,12.5,11.0,21.74,43.48,29.0,42.22,66.67,,,,,,41.9,70.9,0.18,0.0,0.0,0.0,0.0,1,1,10.132,13.792,16.634999999999998,2.842999999999998,,,,0,1,1,2-5-1
20240208,1,10,2,5217,藤原 碧生,A2,23,晴,2,6.0,4.0,第17回マンスリーBOATRACE杯,差し,6.04,40.74,64.81,0.0,0.0,0.0,67.0,27.78,33.33,19.0,23.08,38.46,,,,,,8.7,60.8,0.17,0.0,1.0,0.0,1.0,1,1,12.357999999999999,13.792,16.634999999999998,2.842999999999998,,,,0,1,1,2-5-1
20240208,1,10,3,3796,長野 道臣,A2,50,晴,2,6.0,4.0,第17回マンスリーBOATRACE杯,差し,5.81,43.14,62.75,5.62,33.33,52.38,74.0,50.0,55.56,60.0,30.0,47.5,,,,,,13.5,59.4,0.19,1.0,2.0,0.0,2.0,1,1,18.886,13.792,16.634999999999998,2.842999999999998,,,,0,1,1,2-5-1
20240208,1,10,4,4943,八木 治樹,B1,32,晴,2,6.0,4.0,第17回マンスリーBOATRACE杯,差し,4.94,21.95,48.78,4.95,18.18,45.45,40.0,58.33,66.67,64.0,41.18,50.0,,,,,,0.0,40.6,0.17,0.0,0.0,0.0,0.0,1,1,20.862999999999996,13.792,16.634999999999998,2.842999999999998,,,,,1,1,2-5-1
20240208,1,10,5,4209,藤田 竜弘,A2,40,晴,2,6.0,4.0,第17回マンスリーBOATRACE杯,差し,5.79,33.04,59.13,5.35,35.29,52.94,65.0,22.22,33.33,33.0,46.15,64.1,,,,,,2.1,43.4,0.15,0.0,0.0,1.0,0.0,1,1,10.54,13.792,16.634999999999998,2.842999999999998,,,,0,1,1,2-5-1
20240208,1,10,6,5093,浦野 海,B1,21,晴,2,6.0,4.0,第17回マンスリーBOATRACE杯,差し,5.17,31.71,47.56,0.0,0.0,0.0,34.0,50.0,66.67,43.0,50.0,61.9,,,,,,3.7,25.9,0.17,1.0,0.0,0.0,0.0,1,1,18.502,13.792,16.634999999999998,2.842999999999998,,,,0,1,1,2-5-1
20240208,1,11,1,4572,渡部 悟,A2,35,晴,4,4.0,3.0,第17回マンスリーBOATRACE杯,まくり,5.51,35.94,53.91,0.0,0.0,0.0,68.0,20.0,28.0,20.0,30.77,58.97,,,,,,60.0,87.5,0.11,0.0,0.0,0.0,0.0,1,1,9.706,9.487,12.461999999999998,2.974999999999998,,,,0,0,0,4-1-5
20240208,1,11,2,5142,常住 蓮,A2,23,晴,4,4.0,3.0,第17回マンスリーBOATRACE杯,まくり,6.27,43.48,65.22,0.0,0.0,0.0,29.0,8.7,39.13,14.0,39.47,57.89,,,,,,27.2,77.2,0.19,2.0,7.0,0.0,3.0,1,1,6.772,9.487,12.461999999999998,2.974999999999998,,,,0,0,0,4-1-5
20240208,1,11,3,4880,澤崎 雄哉,B1,28,晴,4,4.0,3.0,第17回マンスリーBOATRACE杯,まくり,4.72,20.75,41.51,5.17,37.14,51.43,18.0,29.17,41.67,54.0,34.15,48.78,,,,,,16.1,48.3,0.16,3.0,0.0,1.0,1.0,1,1,11.982999999999999,9.487,12.461999999999998,2.974999999999998,,,,0,0,0,4-1-5
20240208,1,11,4,4381,田路 朋史,B1,39,晴,4,4.0,3.0,第17回マンスリーBOATRACE杯,まくり,4.94,31.68,46.53,7.0,57.14,66.67,27.0,32.0,48.0,72.0,36.17,46.81,,,,,,4.6,55.8,0.16,2.0,0.0,0.0,0.0,1,1,12.964,9.487,12.461999999999998,2.974999999999998,,,,,0,0,4-1-5
20240208,1,11,5,3915,繁野谷 圭介,A1,49,晴,4,4.0,3.0,第17回マンスリーBOATRACE杯,まくり,6.34,41.58,68.32,6.6,50.0,80.0,16.0,23.53,35.29,32.0,34.88,53.49,,,,,,7.1,52.3,0.17,1.0,0.0,1.0,1.0,1,1,11.263,9.487,12.461999999999998,2.974999999999998,,,,0,0,0,4-1-5
20240208,1,11,6,4146,柳橋 宏紀,B1,42,晴,4,4.0,3.0,第17回マンスリーBOATRACE杯,まくり,4.6,25.0,43.18,5.33,33.33,44.44,57.0,33.33,44.44,42.0,42.5,70.0,,,,,,0.0,13.8,0.17,0.0,0.0,0.0,0.0,1,1,13.158999999999999,9.487,12.461999999999998,2.974999999999998,,,,0,0,0,4-1-5
20240208,1,12,1,4743,木村 仁紀,A1,31,晴,4,3.0,2.0,第17回マンスリーBOATRACE杯,逃げ,6.53,46.34,66.67,6.0,50.0,50.0,26.0,25.0,45.83,23.0,31.71,43.9,53.1,0.0,6.89,0.0001,1,75.4,96.2,0.13,0.0,0.0,0.0,1.0,5,1,11.818,12.882666666666665,14.096666666666666,1.2140000000000004,0.1798,-0.1798,0.0298,0,0,0,1-2-3
20240208,1,12,2,4027,松江 秀徳,A2,46,晴,4,3.0,2.0,第17回マンスリーBOATRACE杯,逃げ,5.14,30.68,48.86,3.67,22.22,22.22,24.0,44.0,60.0,75.0,47.62,57.14,53.9,0.0,6.84,0.17,0,5.4,62.1,0.17,0.0,2.0,0.0,0.0,3,4,16.384,12.882666666666665,14.096666666666666,1.2140000000000004,0.1798,-0.1798,0.0298,0,0,0,1-2-3
20240208,1,12,3,5044,渡邉 健,B1,24,晴,4,3.0,2.0,第17回マンスリーBOATRACE杯,逃げ,4.41,27.5,40.0,5.44,44.44,55.56,32.0,25.0,33.33,68.0,33.33,50.0,55.4,0.0,6.76,0.0002,1,13.1,44.7,0.15,3.0,0.0,2.0,0.0,1,2,10.446000000000002,12.882666666666665,14.096666666666666,1.2140000000000004,0.1798,-0.1798,0.0298,0,0,0,1-2-3
20240208,1,12,4,3872,岡田 憲行,A2,47,晴,4,3.0,2.0,第17回マンスリーBOATRACE杯,逃げ,5.63,39.02,56.1,5.89,37.04,62.96,47.0,41.67,70.83,40.0,30.43,45.65,52.5,0.0,6.81,0.18,0,6.9,48.8,0.2,2.0,0.0,1.0,0.0,2,5,15.879,12.882666666666665,14.096666666666666,1.2140000000000004,0.1798,-0.1798,0.0298,0,0,0,1-2-3
20240208,1,12,5,5166,仲道 大輔,A2,23,晴,4,3.0,2.0,第17回マンスリーBOATRACE杯,逃げ,6.09,41.98,65.43,0.0,0.0,0.0,42.0,8.33,25.0,36.0,34.15,46.34,51.0,0.0,6.87,0.0002,1,12.5,57.5,0.18,0.0,0.0,4.0,1.0,4,2,6.453,12.882666666666665,14.096666666666666,1.2140000000000004,0.1798,-0.1798,0.0298,0,0,0,1-2-3
20240208,1,12,6,4925,森 悠稀,B1,31,晴,4,3.0,2.0,第17回マンスリーBOATRACE杯,逃げ,5.15,31.86,51.33,6.35,41.18,70.59,23.0,55.56,77.78,48.0,35.0,52.5,52.0,0.0,6.84,0.03,0,7.3,24.3,0.14,2.0,0.0,1.0,0.0,3,3,19.958,12.882666666666665,14.096666666666666,1.2140000000000004,0.1798,-0.1798,0.0298,0,0,0,1-2-3
20240208,1,1,1,3630,黒田 誠司,B1,54,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,3.7,20.93,30.23,3.23,15.38,26.92,75.0,38.89,50.0,74.0,28.57,42.86,53.4,-0.5,6.96,0.09,0,17.6,47.0,0.16,0.0,0.0,0.0,0.0,5,1,14.287,143165587.66,6.597333333333332,-143165581.06266665,-0.06,0.05000000000000002,-0.010000000000000009,0,0,0,3-4-2
20240208,1,1,2,5152,丸山 祐也,B1,28,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,3.83,20.63,31.75,0.0,0.0,0.0,53.0,15.79,31.58,17.0,37.5,52.5,51.0,-0.5,6.9,0.15,0,3.0,42.4,0.18,1.0,0.0,0.0,0.0,4,3,7.234999999999999,143165587.66,6.597333333333332,-143165581.06266665,-0.06,0.05000000000000002,-0.010000000000000009,0,0,0,3-4-2
20240208,1,1,3,5217,藤原 碧生,A2,23,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,6.04,40.74,64.81,0.0,0.0,0.0,67.0,27.78,33.33,19.0,23.08,38.46,53.4,-0.5,6.76,0.18,0,0.0,42.8,0.19,0.0,0.0,0.0,0.0,1,6,429496741.458,143165587.66,6.597333333333332,-143165581.06266665,-0.06,0.05000000000000002,-0.010000000000000009,0,0,0,3-4-2
20240208,1,1,4,4423,坂口 貴彦,B1,34,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,4.31,23.53,41.18,4.29,23.53,29.41,63.0,30.0,40.0,58.0,15.0,52.5,53.5,-0.5,6.85,0.12,0,5.0,40.0,0.16,2.0,0.0,0.0,0.0,2,2,11.886000000000001,143165587.66,6.597333333333332,-143165581.06266665,-0.06,0.05000000000000002,-0.010000000000000009,0,0,0,3-4-2
20240208,1,1,5,3277,齋藤 勇,B1,57,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,4.56,24.75,37.62,4.15,20.75,35.85,15.0,8.7,21.74,28.0,33.33,57.14,51.5,-0.5,6.87,0.17,0,0.0,23.6,0.16,0.0,0.0,0.0,0.0,3,5,5.346,143165587.66,6.597333333333332,-143165581.06266665,-0.06,0.05000000000000002,-0.010000000000000009,0,0,0,3-4-2
20240208,1,1,6,4815,伏島 祐介,B1,33,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,4.1,20.43,36.56,4.0,10.0,35.0,13.0,0.0,6.67,22.0,23.08,43.59,54.2,-0.5,6.87,0.16,0,0.0,16.6,0.18,0.0,0.0,0.0,0.0,3,4,2.5599999999999996,143165587.66,6.597333333333332,-143165581.06266665,-0.06,0.05000000000000002,-0.010000000000000009,0,0,0,3-4-2
20240208,1,2,1,4899,占部 一真,B1,32,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,3.75,18.87,26.42,0.0,0.0,0.0,59.0,42.31,46.15,11.0,41.46,60.98,52.0,0.0,6.98,0.07,0,30.7,46.1,0.14,0.0,0.0,0.0,0.0,4,4,15.043,17.657,143165587.99133334,143165570.33433333,0.119,-0.039999999999999994,-0.0799,0,0,0,3-6-2
20240208,1,2,2,5090,生方 靖亜,B1,23,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,4.45,27.59,39.08,4.66,29.13,41.73,22.0,50.0,66.67,66.0,48.72,66.67,52.8,-0.5,6.95,0.06,0,18.6,51.1,0.15,5.0,3.0,0.0,0.0,3,3,17.87,17.657,143165587.99133334,143165570.33433333,0.119,-0.039999999999999994,-0.0799,0,0,0,3-6-2
20240208,1,2,3,4925,森 悠稀,B1,31,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,5.15,31.86,51.33,6.35,41.18,70.59,23.0,55.56,77.78,48.0,35.0,52.5,52.0,-0.5,6.94,0.001,1,8.5,61.7,0.14,2.0,0.0,1.0,1.0,2,2,20.058,17.657,143165587.99133334,143165570.33433333,0.119,-0.039999999999999994,-0.0799,0,0,0,3-6-2
20240208,1,2,4,5022,伊藤 尚汰,B1,29,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,4.92,29.33,46.67,3.18,9.09,18.18,61.0,25.0,37.5,59.0,33.33,41.03,50.0,0.0,6.86,0.12,0,6.0,42.4,0.18,1.0,0.0,1.0,0.0,1,6,429496739.952,17.657,143165587.99133334,143165570.33433333,0.119,-0.039999999999999994,-0.0799,0,0,0,3-6-2
20240208,1,2,5,5319,近藤 颯斗,B2,22,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,1.43,0.0,3.33,0.0,0.0,0.0,70.0,41.18,47.06,18.0,36.59,51.22,52.0,-0.5,7.01,0.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,13.212,17.657,143165587.99133334,143165570.33433333,0.119,-0.039999999999999994,-0.0799,0,0,0,3-6-2
20240208,1,2,6,3822,平尾 崇典,A2,51,晴,4,5.0,5.0,第17回マンスリーBOATRACE杯,まくり,6.48,43.44,59.02,4.22,11.11,11.11,55.0,21.74,39.13,71.0,29.27,56.1,50.0,-0.5,6.86,0.0001,1,8.5,42.8,0.18,2.0,0.0,0.0,0.0,1,1,10.81,17.657,143165587.99133334,143165570.33433333,0.119,-0.039999999999999994,-0.0799,0,0,0,3-6-2
20240208,1,3,1,4880,澤崎 雄哉,B1,28,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり差し,4.72,20.75,41.51,5.17,37.14,51.43,18.0,29.17,41.67,54.0,34.15,48.78,51.5,0.0,6.92,0.0013,1,43.3,83.3,0.16,0.0,0.0,0.0,0.0,3,2,11.883,143165587.30033332,15.430999999999997,-143165571.86933333,-0.06,-0.08,-0.0099,0,1,0,5-6-3
20240208,1,3,2,3812,山崎 聖司,B1,48,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり差し,4.63,17.95,42.31,4.74,19.05,42.86,69.0,25.0,40.0,65.0,36.84,57.89,51.5,-0.5,7.02,0.02,0,8.1,45.9,0.16,1.0,2.0,0.0,0.0,6,4,10.378,143165587.30033332,15.430999999999997,-143165571.86933333,-0.06,-0.08,-0.0099,0,1,0,5-6-3
20240208,1,3,3,4209,藤田 竜弘,A2,40,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり差し,5.79,33.04,59.13,5.35,35.29,52.94,65.0,22.22,33.33,33.0,46.15,64.1,55.7,-0.5,7.01,0.15,0,12.2,65.3,0.16,2.0,0.0,3.0,1.0,5,6,429496739.64,143165587.30033332,15.430999999999997,-143165571.86933333,-0.06,-0.08,-0.0099,0,1,0,5-6-3
20240208,1,3,4,5065,伊久間 陽優,B1,25,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり差し,4.71,29.33,42.67,4.6,30.69,42.57,33.0,25.0,37.5,12.0,34.21,52.63,52.0,-0.5,6.97,0.09,0,9.0,36.3,0.12,3.0,0.0,0.0,0.0,4,5,10.326,143165587.30033332,15.430999999999997,-143165571.86933333,-0.06,-0.08,-0.0099,1,1,0,5-6-3
20240208,1,3,5,4325,新出 浩司,B1,40,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり差し,5.49,34.78,50.0,4.71,28.57,42.86,58.0,52.63,68.42,26.0,42.11,52.63,52.4,-0.5,6.85,0.01,0,10.5,31.5,0.14,0.0,1.0,2.0,1.0,1,3,19.282999999999998,143165587.30033332,15.430999999999997,-143165571.86933333,-0.06,-0.08,-0.0099,0,1,0,5-6-3
20240208,1,3,6,4027,松江 秀徳,A2,46,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり差し,5.14,30.68,48.86,3.67,22.22,22.22,24.0,44.0,60.0,75.0,47.62,57.14,53.9,0.0,6.86,0.0001,1,4.1,29.1,0.14,1.0,0.0,0.0,0.0,2,1,16.683999999999997,143165587.30033332,15.430999999999997,-143165571.86933333,-0.06,-0.08,-0.0099,0,1,0,5-6-3
20240208,1,4,1,3896,上田 洋平,B1,47,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,5.74,36.11,61.11,0.0,0.0,0.0,14.0,50.0,58.33,56.0,30.95,42.86,52.0,0.0,6.92,0.0006,1,44.8,86.2,0.14,0.0,0.0,0.0,0.0,3,3,18.644,12.003,143165591.65033332,143165579.64733332,-0.0009000000000000001,-0.0002,0.05,0,1,0,1-3-6
20240208,1,4,2,5096,上原 崚,B1,28,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,5.11,31.87,48.35,4.08,16.67,33.33,30.0,26.09,60.87,35.0,15.79,28.95,52.1,-0.5,6.91,0.04,0,11.4,54.2,0.12,2.0,2.0,0.0,0.0,2,5,10.893,12.003,143165591.65033332,143165579.64733332,-0.0009000000000000001,-0.0002,0.05,0,1,0,1-3-6
20240208,1,4,3,5142,常住 蓮,A2,23,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,6.27,43.48,65.22,0.0,0.0,0.0,29.0,8.7,39.13,14.0,39.47,57.89,51.5,0.0,6.87,0.0011,1,15.3,69.2,0.17,1.0,1.0,3.0,1.0,1,4,6.4719999999999995,12.003,143165591.65033332,143165579.64733332,-0.0009000000000000001,-0.0002,0.05,0,1,0,1-3-6
20240208,1,4,4,5216,長谷川 晴哉,B1,23,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,4.57,24.73,41.94,3.9,16.25,31.25,56.0,20.0,45.0,16.0,25.0,40.0,52.0,0.0,6.87,0.0002,1,18.6,51.1,0.16,4.0,2.0,1.0,1.0,1,2,9.042000000000002,12.003,143165591.65033332,143165579.64733332,-0.0009000000000000001,-0.0002,0.05,0,1,0,1-3-6
20240208,1,4,5,5331,佐藤 永梧,B2,20,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,1.93,0.0,7.14,0.0,0.0,0.0,19.0,54.55,69.7,13.0,25.0,44.44,56.2,0.0,6.95,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,17.923,12.003,143165591.65033332,143165579.64733332,-0.0009000000000000001,-0.0002,0.05,0,1,0,1-3-6
20240208,1,4,6,3796,長野 道臣,A2,50,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,5.81,43.14,62.75,5.62,33.33,52.38,74.0,50.0,55.56,60.0,30.0,47.5,53.1,0.0,6.92,0.05,0,7.3,24.3,0.18,0.0,1.0,1.0,1.0,3,6,429496747.986,12.003,143165591.65033332,143165579.64733332,-0.0009000000000000001,-0.0002,0.05,0,1,0,1-3-6
20240208,1,5,1,5044,渡邉 健,B1,24,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり,4.41,27.5,40.0,5.44,44.44,55.56,32.0,25.0,33.33,68.0,33.33,50.0,55.4,-0.5,7.0,0.04,0,41.6,75.0,0.17,0.0,0.0,0.0,0.0,4,2,10.446000000000002,9.711666666666666,143165585.58666667,143165575.875,0.04999999999999999,-0.06,0.09,0,1,0,2-3-4
20240208,1,5,2,4572,渡部 悟,A2,35,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり,5.51,35.94,53.91,0.0,0.0,0.0,68.0,20.0,28.0,20.0,30.77,58.97,55.8,0.0,7.01,0.0011,1,12.9,59.2,0.16,1.0,4.0,0.0,0.0,5,1,9.706,9.711666666666666,143165585.58666667,143165575.875,0.04999999999999999,-0.06,0.09,0,1,0,2-3-4
20240208,1,5,3,3550,都築 正治,A2,52,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり,5.28,34.0,51.0,3.39,11.11,16.67,21.0,19.05,19.05,69.0,31.82,54.55,55.4,0.0,6.97,0.13,0,17.7,57.7,0.17,7.0,0.0,0.0,1.0,2,4,8.982999999999999,9.711666666666666,143165585.58666667,143165575.875,0.04999999999999999,-0.06,0.09,0,1,0,2-3-4
20240208,1,5,4,4389,伊藤 喜智,B1,38,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり,5.35,32.97,58.24,2.96,8.33,12.5,11.0,21.74,43.48,73.0,36.11,52.78,52.0,0.0,7.01,0.18,0,5.5,52.7,0.18,0.0,1.0,1.0,0.0,5,5,9.732,9.711666666666666,143165585.58666667,143165575.875,0.04999999999999999,-0.06,0.09,0,1,0,2-3-4
20240208,1,5,5,5152,丸山 祐也,B1,28,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり,3.83,20.63,31.75,0.0,0.0,0.0,53.0,15.79,31.58,17.0,37.5,52.5,51.0,0.0,6.99,0.12,0,0.0,13.3,0.17,0.0,0.0,0.0,0.0,3,3,7.234999999999999,9.711666666666666,143165585.58666667,143165575.875,0.04999999999999999,-0.06,0.09,0,1,0,2-3-4
20240208,1,5,6,5294,豊田 祥生,B2,22,晴,4,6.0,5.0,第17回マンスリーBOATRACE杯,まくり,1.94,1.45,7.25,1.4,0.0,0.0,52.0,30.43,65.22,15.0,25.0,33.33,50.5,0.0,6.95,0.21,0,0.0,5.0,0.19,0.0,0.0,0.0,0.0,1,6,429496739.793,9.711666666666666,143165585.58666667,143165575.875,0.04999999999999999,-0.06,0.09,0,1,0,2-3-4
20240208,1,6,1,3872,岡田 憲行,A2,47,晴,4,7.0,6.0,第17回マンスリーBOATRACE杯,逃げ,5.63,39.02,56.1,5.89,37.04,62.96,47.0,41.67,70.83,40.0,30.43,45.65,52.5,0.0,6.97,0.0008,1,52.6,84.2,0.18,0.0,0.0,0.0,1.0,4,2,16.179,12.113666666666665,4.815666666666666,-7.297999999999999,0.16,0.0,-0.17,0,1,0,1-3-5
