hd,jcd,rno,lane,racer_id,racer_name,decision4,course_first_rate,course_3rd_rate,course_avg_st,tenji_st,tenji_sec,tenji_rank,st_rank,motor_rate2,motor_rate3,boat_rate2,boat_rate3,wind_speed_m,wave_height_cm,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,power_lane,power_inner,power_outer,outer_over_inner,dash_attack_flag,is_strong_wind,is_crosswind
20240312,4,10,1,3381,滝沢 芳行,MAKURI,50.0,84.3,0.14,0.12,6.67,1,2,31.79,45.7,34.39,52.23,3.0,3.0,0.0,0.0,0.0,0.0,12.873,13.944666666666665,12.649,-1.2956666666666656,0,0,0
20240312,4,10,2,3202,三品 隆浩,MAKURI,2.9,47.0,0.15,0.11,6.68,2,1,36.77,54.19,28.1,43.14,3.0,3.0,0.0,0.0,0.0,1.0,13.765,13.944666666666665,12.649,-1.2956666666666656,0,0,0
20240312,4,10,3,4688,永井 彪也,MAKURI,16.2,56.7,0.14,0.17,6.73,4,4,36.84,56.58,33.53,48.82,3.0,3.0,0.0,1.0,3.0,2.0,15.196,13.944666666666665,12.649,-1.2956666666666656,0,0,0
20240312,4,10,4,4731,間野 兼礼,MAKURI,12.8,58.9,0.14,0.17,6.69,3,4,27.45,44.44,29.61,45.39,3.0,3.0,3.0,1.0,1.0,0.0,11.310999999999998,13.944666666666665,12.649,-1.2956666666666656,0,0,0
20240312,4,10,5,4234,野相 弘司,MAKURI,3.5,28.5,0.21,0.12,6.73,4,2,36.08,58.86,25.0,39.47,3.0,3.0,0.0,0.0,1.0,0.0,14.22,13.944666666666665,12.649,-1.2956666666666656,0,0,0
20240312,4,10,6,3702,貞兼 淳二,MAKURI,0.0,30.4,0.2,0.13,6.86,5,3,29.68,45.16,30.72,50.0,3.0,3.0,0.0,0.0,0.0,0.0,12.415999999999999,13.944666666666665,12.649,-1.2956666666666656,0,0,0
20240312,4,12,1,3473,石川 真二,NIGE,41.2,74.2,0.14,0.14,6.71,4,4,32.03,48.37,33.56,50.0,4.0,3.0,0.0,0.0,0.0,3.0,13.681,14.301666666666668,12.735999999999999,-1.5656666666666688,0,0,0
20240312,4,12,2,4883,岡部 大輝,NIGE,9.3,67.4,0.14,0.09,6.68,1,2,39.07,56.29,38.37,54.65,4.0,3.0,0.0,4.0,0.0,0.0,15.159,14.301666666666668,12.735999999999999,-1.5656666666666688,0,0,0
20240312,4,12,3,5133,堀越 雄貴,NIGE,7.5,42.5,0.17,0.08,6.7,3,1,36.71,51.9,44.44,59.26,4.0,3.0,2.0,0.0,1.0,0.0,14.065,14.301666666666668,12.735999999999999,-1.5656666666666688,0,0,0
20240312,4,12,4,4650,中山 雄太,NIGE,16.6,66.6,0.14,0.11,6.69,2,3,30.52,46.1,29.55,46.02,4.0,3.0,4.0,2.0,1.0,0.0,13.135999999999997,14.301666666666668,12.735999999999999,-1.5656666666666688,0,0,0
20240312,4,12,5,4977,馬野 耀,NIGE,5.1,43.5,0.18,0.08,6.74,5,1,25.17,40.56,31.45,48.43,4.0,3.0,1.0,0.0,0.0,1.0,11.491000000000001,14.301666666666668,12.735999999999999,-1.5656666666666688,0,0,0
20240312,4,12,6,3796,長野 道臣,NIGE,7.3,24.3,0.18,0.16,6.69,2,5,34.19,48.39,28.06,40.29,4.0,3.0,0.0,1.0,1.0,1.0,13.581,14.301666666666668,12.735999999999999,-1.5656666666666688,0,0,0
20240312,4,1,1,3536,一色 雅昭,MAKURI,33.3,63.3,0.19,0.07,6.78,5,2,29.8,45.7,35.66,48.25,1.0,3.0,0.0,0.0,0.0,1.0,11.43,12.520666666666665,143165588.36966667,143165575.849,0,0,0
20240312,4,1,2,4943,八木 治樹,MAKURI,10.0,46.6,0.15,0.14,6.72,3,4,33.55,49.68,35.33,53.33,1.0,3.0,0.0,2.0,0.0,1.0,13.158999999999999,12.520666666666665,143165588.36966667,143165575.849,0,0,0
20240312,4,1,3,3381,滝沢 芳行,MAKURI,7.5,45.0,0.14,0.03,6.72,3,1,31.79,45.7,34.39,52.23,1.0,3.0,3.0,0.0,0.0,0.0,12.972999999999999,12.520666666666665,143165588.36966667,143165575.849,0,0,0
20240312,4,1,4,5332,村松 遥輝,MAKURI,0.0,0.0,0.0,0.2,6.63,1,6,29.75,44.94,41.61,63.09,1.0,3.0,0.0,0.0,0.0,0.0,429496739.583,12.520666666666665,143165588.36966667,143165575.849,0,0,0
20240312,4,1,5,4759,今泉 友吾,MAKURI,9.3,53.4,0.17,0.1,6.67,2,3,32.47,42.86,35.29,52.94,1.0,3.0,0.0,0.0,2.0,1.0,13.649,12.520666666666665,143165588.36966667,143165575.849,0,0,0
20240312,4,1,6,4023,柴田 友和,MAKURI,0.0,15.6,0.18,0.18,6.77,4,5,31.13,50.33,24.81,45.11,1.0,3.0,0.0,0.0,0.0,0.0,11.876999999999999,12.520666666666665,143165588.36966667,143165575.849,0,0,0
20240312,4,2,1,3516,吉原 聖人,MAKURI,0.0,53.3,0.22,0.03,6.76,3,1,45.86,64.97,36.13,48.39,0.0,3.0,0.0,0.0,0.0,0.0,16.72,15.313,143165589.01433334,143165573.70133334,0,0,0
20240312,4,2,2,3075,中村 裕将,MAKURI,9.3,56.2,0.15,0.07,6.82,5,3,41.4,57.32,36.0,57.14,0.0,3.0,1.0,1.0,0.0,1.0,15.338,15.313,143165589.01433334,143165573.70133334,0,0,0
20240312,4,2,3,3796,長野 道臣,MAKURI,13.5,59.4,0.19,0.06,6.75,2,2,34.19,48.39,28.06,40.29,0.0,3.0,1.0,2.0,0.0,2.0,13.881,15.313,143165589.01433334,143165573.70133334,0,0,0
20240312,4,2,4,4708,半田 尚也,MAKURI,0.0,38.7,0.17,0.13,6.87,6,4,30.97,48.39,27.5,42.5,0.0,3.0,0.0,0.0,0.0,0.0,11.742999999999999,15.313,143165589.01433334,143165573.70133334,0,0,0
20240312,4,2,5,3742,宮地 秀祈,MAKURI,0.0,30.7,0.18,0.14,6.71,1,5,31.82,48.7,31.33,47.33,0.0,3.0,0.0,0.0,0.0,0.0,12.186,15.313,143165589.01433334,143165573.70133334,0,0,0
20240312,4,2,6,3576,白水 勝也,MAKURI,0.0,50.0,0.19,0.17,6.78,4,6,33.12,48.05,36.09,54.14,0.0,3.0,0.0,0.0,0.0,0.0,429496743.114,15.313,143165589.01433334,143165573.70133334,0,0,0
20240312,4,3,1,3535,渡 修平,MAKURI_SASHI,66.6,85.7,0.15,0.22,6.86,5,5,28.48,43.71,32.12,53.94,2.0,3.0,0.0,0.0,0.0,1.0,11.376000000000001,12.321333333333333,14.315333333333333,1.9939999999999998,0,0,0
20240312,4,3,2,3072,西田 靖,MAKURI_SASHI,8.5,40.6,0.15,0.0008,6.73,2,1,28.97,42.76,34.84,44.52,2.0,3.0,1.0,8.0,0.0,1.0,12.438999999999998,12.321333333333333,14.315333333333333,1.9939999999999998,0,0,0
20240312,4,3,3,4786,佐藤 博亮,MAKURI_SASHI,28.2,82.0,0.15,0.0011,6.67,1,2,29.61,51.97,27.14,46.43,2.0,3.0,6.0,1.0,1.0,3.0,13.149000000000001,12.321333333333333,14.315333333333333,1.9939999999999998,0,0,0
20240312,4,3,4,5300,横田 海人,MAKURI_SASHI,0.0,0.0,0.23,0.04,6.75,3,4,50.0,65.13,29.41,45.59,2.0,3.0,0.0,0.0,0.0,0.0,16.102,12.321333333333333,14.315333333333333,1.9939999999999998,0,0,0
20240312,4,3,5,3385,渡邉 睦広,MAKURI_SASHI,7.6,34.6,0.18,0.01,6.77,4,3,30.72,45.75,29.86,52.08,2.0,3.0,0.0,0.0,1.0,1.0,12.823999999999998,12.321333333333333,14.315333333333333,1.9939999999999998,0,0,0
20240312,4,3,6,4234,野相 弘司,MAKURI_SASHI,0.0,12.5,0.25,0.04,6.75,3,4,36.08,58.86,25.0,39.47,2.0,3.0,0.0,0.0,0.0,0.0,14.02,12.321333333333333,14.315333333333333,1.9939999999999998,0,0,0
