hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240331,2,10,1,4276,,,,,,0.09,0,,3,,0.15,69.8,84.9
20240331,2,10,2,3933,,,,,,0.05,0,,1,,0.17,14.2,58.9
20240331,2,10,3,4191,,,,,,0.06,0,,2,,0.16,27.9,76.7
20240331,2,10,4,4159,,,,,,0.26,0,,6,,0.18,6.8,52.2
20240331,2,10,5,3832,,,,,,0.15,0,,5,,0.17,5.0,27.5
20240331,2,10,6,4081,,,,,,0.14,0,,4,,0.2,0.0,20.6
20240331,2,11,1,4737,,,,,,0.16,0,,5,,0.17,65.3,84.6
20240331,2,11,2,3569,,,,,,0.11,0,,2,,0.19,9.5,40.4
20240331,2,11,3,4144,,,,,,0.17,0,,6,,0.16,29.0,74.1
20240331,2,11,4,4486,,,,,,0.14,0,,3,,0.15,19.2,57.6
20240331,2,11,5,5095,,,,,,0.09,0,,1,,0.16,2.8,28.5
20240331,2,11,6,4201,,,,,,0.15,0,,4,,0.15,7.1,32.1
20240331,2,12,1,4109,,,,,,,1,0.08,,,0.13,62.0,92.0
20240331,2,12,2,4877,,,,,,,1,0.06,,,0.12,15.7,78.9
20240331,2,12,3,4748,,,,,,0.14,0,,4,,0.16,21.9,58.5
20240331,2,12,4,3929,,,,,,0.13,0,,3,,0.16,7.5,47.5
20240331,2,12,5,4025,,,,,,0.11,0,,2,,0.17,1.8,56.3
20240331,2,12,6,4407,,,,,,0.09,0,,1,,0.23,0.0,28.5
20240331,2,1,1,3306,,,,,,,1,0.06,,,0.17,12.5,54.1
20240331,2,1,2,5013,,,,,,0.05,0,,2,,0.17,4.5,45.4
20240331,2,1,3,4871,,,,,,0.08,0,,4,,0.2,0.0,18.1
20240331,2,1,4,3682,,,,,,0.01,0,,1,,0.18,0.0,31.0
20240331,2,1,5,5324,,,,,,0.06,0,,3,,0.0,0.0,0.0
20240331,2,1,6,5122,,,,,,,1,0.02,,,0.19,0.0,11.4
20240331,2,2,1,3832,,,,,,0.01,0,,1,,0.17,42.8,78.5
20240331,2,2,2,4407,,,,,,0.03,0,,3,,0.17,11.3,54.5
20240331,2,2,3,4486,,,,,,0.02,0,,2,,0.14,18.1,63.6
20240331,2,2,4,4104,,,,,,,1,0.01,,,0.13,23.0,61.5
20240331,2,2,5,3905,,,,,,0.06,0,,4,,0.15,7.8,44.7
20240331,2,2,6,5327,,,,,,,1,0.01,,,0.28,0.0,0.0
20240331,2,3,1,3929,,,,,,,,,,,0.14,52.7,77.7
20240331,2,3,2,4077,,,,,,,,,,,0.19,8.0,42.0
20240331,2,3,3,4276,,,,,,,,,,,0.15,26.0,66.0
20240331,2,3,4,5095,,,,,,,,,,,0.13,25.0,67.8
20240331,2,3,5,5005,,,,,,,,,,,0.15,8.3,45.8
20240331,2,3,6,5213,,,,,,,,,,,0.18,0.0,24.3
20240331,2,4,1,4423,,,,,,0.12,0,,5,,0.11,62.5,87.5
20240331,2,4,2,4201,,,,,,,1,0.01,,,0.16,17.5,45.0
20240331,2,4,3,4436,,,,,,0.01,0,,1,,0.14,9.3,67.4
20240331,2,4,4,3933,,,,,,0.08,0,,3,,0.17,3.7,59.2
20240331,2,4,5,3647,,,,,,0.09,0,,4,,0.17,0.0,26.0
20240331,2,4,6,3293,,,,,,0.07,0,,2,,0.23,0.0,15.0
20240331,2,5,1,4159,,,,,,0.12,0,,5,,0.14,65.0,90.0
20240331,2,5,2,4623,,,,,,0.06,0,,2,,0.18,4.8,46.3
20240331,2,5,3,4246,,,,,,0.13,0,,6,,0.18,6.2,40.6
20240331,2,5,4,4109,,,,,,0.08,0,,4,,0.12,14.8,63.8
20240331,2,5,5,4871,,,,,,0.05,0,,1,,0.15,0.0,30.0
20240331,2,5,6,3406,,,,,,0.07,0,,3,,0.2,0.0,23.0
20240331,2,6,1,5069,,,,,,,,,,,0.16,40.9,63.6
20240331,2,6,2,4104,,,,,,,,,,,0.16,12.0,48.0
20240331,2,6,3,4081,,,,,,,,,,,0.18,9.3,46.5
20240331,2,6,4,5013,,,,,,,,,,,0.17,9.5,38.1
20240331,2,6,5,4144,,,,,,,,,,,0.18,0.0,44.4
20240331,2,6,6,4748,,,,,,,,,,,0.16,2.7,40.5
20240331,2,7,1,4877,,,,,,0.15,0,,3,,0.13,75.0,88.6
20240331,2,7,2,5213,,,,,,0.03,0,,1,,0.24,0.0,17.6
20240331,2,7,3,3462,,,,,,0.07,0,,2,,0.16,0.0,46.3
20240331,2,7,4,3569,,,,,,0.26,0,,4,,0.18,2.9,32.3
20240331,2,7,5,5287,,,,,,,1,0.04,,,0.17,0.0,25.0
20240331,2,7,6,5324,,,,,,0.07,0,,2,,0.2,0.0,0.0
20240331,2,8,1,4906,,,,,,0.05,0,,2,,0.18,41.1,52.9
20240331,2,8,2,4025,,,,,,,1,0.03,,,0.17,7.6,66.6
